X,Y,Z,Date And Time,Phone Id's
738,364,0,26/09/2014 10:38:25,ZX1B23QFSP48abead89f52e3bb
567,320,0,26/09/2014 10:38:25,ZX1B23QBS53771758c578bbd85
591,320,0,26/09/2014 10:38:26,TA92903URNf067ff16fcf8e045
776,320,0,26/09/2014 10:38:26,ZX1B23QFSP48abead89f52e3bb
616,302,0,26/09/2014 10:38:27,ZX1B23QBS53771758c578bbd85
591,364,0,26/09/2014 10:38:28,TA92903URNf067ff16fcf8e045
776,320,0,26/09/2014 10:38:28,ZX1B23QFSP48abead89f52e3bb
616,320,0,26/09/2014 10:38:29,ZX1B23QBS53771758c578bbd85
591,364,0,26/09/2014 10:38:30,TA92903URNf067ff16fcf8e045
643,302,0,26/09/2014 10:38:31,ZX1B23QFSP48abead89f52e3bb
514,364,0,26/09/2014 10:38:31,YT910K6675876ded0861342065
616,320,0,26/09/2014 10:38:31,ZX1B23QBS53771758c578bbd85
643,302,0,26/09/2014 10:38:32,TA92903URNf067ff16fcf8e045
643,320,0,26/09/2014 10:38:32,ZX1B23QFSP48abead89f52e3bb
616,320,0,26/09/2014 10:38:33,ZX1B23QBS53771758c578bbd85
514,364,0,26/09/2014 10:38:33,YT910K6675876ded0861342065
643,320,0,26/09/2014 10:38:34,TA92903URNf067ff16fcf8e045
616,347,0,26/09/2014 10:38:35,ZX1B23QFSP48abead89f52e3bb
616,320,0,26/09/2014 10:38:35,ZX1B23QBS53771758c578bbd85
542,320,0,26/09/2014 10:38:36,TA92903URNf067ff16fcf8e045
616,302,0,26/09/2014 10:38:36,ZX1B23QFSP48abead89f52e3bb
616,302,0,26/09/2014 10:38:37,ZX1B23QBS53771758c578bbd85
542,320,0,26/09/2014 10:38:38,TA92903URNf067ff16fcf8e045
591,320,0,26/09/2014 10:38:38,ZX1B23QFSP48abead89f52e3bb
616,302,0,26/09/2014 10:38:40,ZX1B23QBS53771758c578bbd85
616,302,0,26/09/2014 10:38:40,TA92903URNf067ff16fcf8e045
616,347,0,26/09/2014 10:38:40,ZX1B23QFSP48abead89f52e3bb
514,364,0,26/09/2014 10:38:41,YT910K6675876ded0861342065
643,364,0,26/09/2014 10:38:42,ZX1B23QBS53771758c578bbd85
514,320,0,26/09/2014 10:38:42,ZX1B23QFSP48abead89f52e3bb
616,302,0,26/09/2014 10:38:44,ZX1B23QBS53771758c578bbd85
591,320,0,26/09/2014 10:38:44,TA92903URNf067ff16fcf8e045
486,320,0,26/09/2014 10:38:44,ZX1B23QFSP48abead89f52e3bb
643,302,0,26/09/2014 10:38:46,TA92903URNf067ff16fcf8e045
616,302,0,26/09/2014 10:38:46,ZX1B23QBS53771758c578bbd85
514,364,0,26/09/2014 10:38:46,ZX1B23QFSP48abead89f52e3bb
486,320,0,26/09/2014 10:38:48,TA92903URNf067ff16fcf8e045
616,302,0,26/09/2014 10:38:48,ZX1B23QBS53771758c578bbd85
403,320,0,26/09/2014 10:38:48,ZX1B23QFSP48abead89f52e3bb
514,364,0,26/09/2014 10:38:48,YT910K6675876ded0861342065
486,320,0,26/09/2014 10:38:50,TA92903URNf067ff16fcf8e045
616,302,0,26/09/2014 10:38:50,ZX1B23QBS53771758c578bbd85
