Time still vs. Path length from (660, 2) to (693, 302)
Path length (points/sec)
Time still (sec)
89.81891,2.0,5.0
78.94106,5.0,5.0
123.77201,5.0,5.0
282.96954,7.0,5.0
75.7772,0.0,5.0
75.7772,0.0,5.0
367.59702,12.0,5.0
74.96956,4.0,5.0
143.07684,19.0,5.0
73.71642,1.0,5.0
367.63254,2.0,5.0
77.21868,0.0,5.0
181.99078,6.0,5.0
218.43039,2.0,5.0
0.0,0.0,5.0
717.988,10.0,5.0
143.07684,6.0,5.0
78.94284,0.0,5.0
79.21987,2.0,5.0
77.02035,0.0,5.0
396.57074,18.0,5.0
81.40411,2.0,5.0
262.5008,15.0,5.0
0.0,0.0,5.0
66.87488,0.0,2.0
229.38614,1.0,2.0
0.0,0.0,2.0
48.05637,4.0,2.0
41.04467,0.0,2.0
79.64752,0.0,2.0
0.0,0.0,2.0
99.99752,0.0,2.0
69.241585,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
32.0,0.0,2.0
33.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
73.52111,0.0,2.0
16.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
14.743156,0.0,2.0
107.50596,5.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,6.0,2.0
126.973236,4.0,2.0
144.24226,0.0,2.0
90.72092,0.0,2.0
123.93476,0.0,2.0
141.88443,0.0,2.0
84.003204,0.0,2.0
109.09736,2.0,2.0
36.05316,6.0,2.0
0.0,0.0,2.0
54.61396,0.0,2.0
86.61396,0.0,2.0
0.0,0.0,2.0
0.0,2.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
89.8644,0.0,2.0
0.0,0.0,2.0
93.74107,0.0,2.0
0.0,0.0,2.0
74.967735,0.0,2.0
116.622795,5.0,2.0
83.06359,0.0,2.0
70.0541,2.0,2.0
34.473923,0.0,2.0
133.0,0.0,2.0
33.947746,0.0,2.0
111.605736,2.0,2.0
145.0916,5.0,2.0
95.22677,2.0,2.0
50.063595,2.0,3.0
78.558044,5.0,3.0
61.62701,0.0,3.0
87.64933,0.0,3.0
77.118225,0.0,3.0
190.82509,0.0,3.0
