Amount of time disappeared from the tracking system vs. Modulus speed from (560, 302) to (790, 323)
67.10626,2.0,5.0
0.0,2.0,5.0
26.100767,2.0,5.0
15.402922,2.0,5.0
24.0,1.0,5.0
26.100767,2.0,5.0
15.402922,2.0,5.0
15.402922,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,3.0,5.0
0.0,2.0,5.0
0.0,11.0,5.0
13.5,2.0,5.0
0.0,3.0,5.0
15.402922,2.0,5.0
7.701461,4.0,5.0
15.402922,2.0,5.0
12.5,2.0,5.0
15.402922,2.0,5.0
0.0,2.0,5.0
0.0,3.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
27.0,1.0,5.0
0.0,6.0,5.0
15.402922,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
30.805843,1.0,5.0
0.0,2.0,5.0
0.0,3.0,5.0
0.0,6.0,5.0
13.5,2.0,5.0
0.0,2.0,5.0
15.402922,2.0,5.0
0.0,3.0,5.0
0.0,3.0,5.0
6.489992,5.0,5.0
9.0,2.0,5.0
0.0,2.0,5.0
8.333333,3.0,5.0
9.0,2.0,5.0
10.268615,3.0,5.0
9.0,2.0,5.0
16.224981,2.0,5.0
9.0,2.0,5.0
12.529964,3.0,5.0
0.0,2.0,5.0
0.0,4.0,5.0
0.0,1.0,5.0
0.0,3.0,5.0
15.402922,2.0,5.0
18.0,1.0,5.0
9.0,2.0,5.0
15.402922,2.0,5.0
0.0,2.0,5.0
0.0,3.0,5.0
0.0,2.0,5.0
0.0,3.0,5.0
0.0,1.0,5.0
0.0,2.0,5.0
0.0,3.0,5.0
15.402922,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,4.0,5.0
25.0,1.0,5.0
0.0,2.0,5.0
3.6,5.0,5.0
66.5,2.0,5.0
67.10626,2.0,5.0
50.0,2.0,5.0
42.5,2.0,5.0
0.0,3.0,5.0
0.0,1.0,5.0
10.268615,3.0,5.0
10.268615,3.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,0.0,5.0
0.0,1.0,5.0
25.0,1.0,5.0
18.0,1.0,5.0
0.0,1.0,5.0
25.0,1.0,5.0
15.402922,2.0,5.0
0.0,1.0,5.0
26.100767,2.0,5.0
15.0,2.0,5.0
133.0,1.0,5.0
9.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
15.402922,2.0,5.0
15.402922,2.0,5.0
15.402922,2.0,5.0
0.0,2.0,5.0
0.0,3.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
15.402922,2.0,5.0
50.803543,2.0,5.0
101.607086,1.0,5.0
50.803543,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
15.402922,2.0,5.0
0.0,2.0,5.0
15.402922,2.0,5.0
15.402922,2.0,5.0
12.5,2.0,5.0
25.0,1.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
15.402922,2.0,5.0
15.402922,2.0,5.0
10.268615,3.0,5.0
15.402922,2.0,5.0
0.0,1.0,5.0
18.0,1.0,5.0
30.805843,1.0,5.0
30.805843,1.0,5.0
0.0,2.0,5.0
0.0,1.0,5.0
0.0,2.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
30.805843,1.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,4.0,5.0
0.0,4.0,5.0
5.1343074,6.0,5.0
12.5,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
15.402922,2.0,5.0
66.5,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
15.402922,2.0,5.0
15.402922,2.0,5.0
15.402922,2.0,5.0
13.5,2.0,5.0
0.0,4.0,5.0
0.0,2.0,5.0
67.10626,2.0,5.0
9.0,2.0,5.0
13.5,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
15.402922,2.0,5.0
9.0,2.0,5.0
18.0,1.0,5.0
15.402922,2.0,5.0
50.0,2.0,5.0
44.737507,3.0,5.0
10.816654,3.0,5.0
9.0,2.0,5.0
9.0,2.0,5.0
0.0,3.0,5.0
0.0,2.0,5.0
15.402922,2.0,5.0
9.0,2.0,5.0
9.0,3.0,5.0
26.0,2.0,5.0
0.0,2.0,5.0
15.402922,2.0,5.0
9.0,2.0,5.0
9.0,2.0,5.0
0.0,2.0,5.0
9.0,2.0,5.0
34.20526,2.0,5.0
0.0,2.0,5.0
0.0,1.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
15.402922,2.0,5.0
0.0,3.0,5.0
0.0,2.0,5.0
13.5,2.0,5.0
27.0,1.0,5.0
6.0,3.0,5.0
66.5,2.0,5.0
9.0,2.0,5.0
18.794947,2.0,5.0
9.0,2.0,5.0
33.86903,3.0,5.0
0.0,3.0,5.0
0.0,2.0,5.0
26.0,2.0,5.0
15.402922,2.0,5.0
0.0,3.0,5.0
16.224981,2.0,5.0
15.402922,2.0,5.0
15.402922,2.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
0.0,2.0,5.0
66.0,0.0,5.0
9.0,2.0,5.0
52.0,0.0,5.0
25.0,1.0,5.0
0.0,1.0,5.0
18.0,1.0,5.0
18.794947,2.0,5.0
0.0,3.0,5.0
16.224981,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
15.402922,2.0,5.0
31.320919,2.0,5.0
15.402922,2.0,5.0
0.0,2.0,5.0
30.805843,1.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
15.402922,2.0,5.0
27.513634,2.0,5.0
0.0,1.0,5.0
0.0,2.0,5.0
15.402922,2.0,5.0
22.803509,3.0,5.0
0.0,6.0,5.0
30.805843,1.0,5.0
0.0,1.0,5.0
15.402922,2.0,5.0
0.0,1.0,5.0
27.0,1.0,5.0
4.5,4.0,5.0
25.0,1.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
30.805843,1.0,5.0
30.805843,1.0,5.0
0.0,3.0,5.0
9.0,2.0,5.0
9.0,2.0,5.0
0.0,2.0,5.0
27.513634,2.0,5.0
15.402922,2.0,5.0
0.0,2.0,5.0
9.0,2.0,5.0
12.5,2.0,5.0
0.0,2.0,5.0
0.0,1.0,5.0
18.794947,2.0,5.0
18.794947,2.0,5.0
13.5,2.0,5.0
0.0,2.0,5.0
9.0,3.0,5.0
13.5,2.0,5.0
0.0,2.0,5.0
44.737507,3.0,5.0
16.224981,2.0,5.0
0.0,2.0,5.0
15.402922,2.0,5.0
0.0,2.0,5.0
15.402922,2.0,5.0
31.320919,2.0,5.0
33.333332,3.0,5.0
0.0,2.0,5.0
9.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
11.005453,5.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
10.268615,3.0,5.0
15.402922,2.0,5.0
9.0,2.0,5.0
50.803543,2.0,5.0
9.0,2.0,5.0
0.0,2.0,5.0
6.0,3.0,5.0
66.5,2.0,5.0
10.268615,3.0,5.0
0.0,2.0,5.0
9.0,2.0,5.0
16.5,2.0,5.0
42.5,2.0,5.0
15.402922,2.0,5.0
0.0,2.0,5.0
30.805843,1.0,5.0
0.0,2.0,5.0
15.402922,2.0,5.0
12.0,2.0,5.0
30.805843,1.0,5.0
6.0,3.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,3.0,5.0
0.0,2.0,5.0
9.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,3.0,5.0
50.0,2.0,5.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,1.0,2.0
0.0,2.0,2.0
0.0,1.0,2.0
13.5,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,4.0,2.0
0.0,3.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
7.701461,4.0,2.0
0.0,5.0,2.0
0.0,1.0,2.0
44.737507,3.0,2.0
9.0,2.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
5.4,5.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
12.0,2.0,2.0
12.0,2.0,2.0
15.402922,2.0,2.0
12.5,2.0,2.0
12.5,2.0,2.0
12.5,2.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
9.0,2.0,2.0
9.0,2.0,2.0
9.0,2.0,2.0
9.0,2.0,2.0
9.0,2.0,2.0
9.0,2.0,2.0
6.0,3.0,2.0
0.0,3.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,3.0,2.0
15.402922,2.0,2.0
15.402922,2.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
30.805843,1.0,2.0
25.0,1.0,2.0
0.0,1.0,2.0
0.0,1.0,2.0
18.0,1.0,2.0
25.0,1.0,2.0
0.0,2.0,2.0
30.805843,1.0,2.0
15.402922,2.0,2.0
0.0,1.0,2.0
0.0,2.0,2.0
24.0,0.0,2.0
0.0,2.0,2.0
24.0,1.0,2.0
0.0,1.0,2.0
0.0,1.0,2.0
0.0,1.0,2.0
30.805843,1.0,2.0
15.402922,2.0,2.0
0.0,1.0,2.0
0.0,1.0,2.0
0.0,1.0,2.0
30.805843,1.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
67.10626,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
12.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
10.268615,3.0,2.0
4.5,4.0,2.0
15.0,2.0,2.0
12.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
30.805843,1.0,2.0
0.0,2.0,2.0
0.0,3.0,2.0
0.0,1.0,2.0
0.0,2.0,2.0
6.489992,5.0,2.0
6.75,4.0,2.0
30.805843,1.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
15.402922,2.0,2.0
9.0,2.0,2.0
9.0,2.0,2.0
9.0,2.0,2.0
13.5,2.0,2.0
12.5,2.0,2.0
0.0,2.0,2.0
30.805843,1.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
0.0,3.0,2.0
15.402922,2.0,2.0
16.224981,2.0,2.0
67.10626,2.0,2.0
2.5714285,7.0,2.0
0.0,3.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
42.5,2.0,2.0
16.5,2.0,2.0
10.268615,3.0,2.0
9.0,2.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
8.333333,3.0,2.0
15.402922,2.0,2.0
15.402922,2.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,1.0,2.0
0.0,4.0,2.0
27.513634,2.0,2.0
0.0,2.0,2.0
0.0,3.0,2.0
15.402922,2.0,2.0
12.5,2.0,2.0
25.0,1.0,2.0
9.0,2.0,2.0
0.0,5.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
15.402922,2.0,2.0
9.0,2.0,2.0
25.0,1.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
9.0,2.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
9.0,2.0,2.0
10.816654,3.0,2.0
24.0,1.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
10.268615,3.0,2.0
0.0,1.0,2.0
0.0,4.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,1.0,2.0
9.0,2.0,2.0
66.5,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
26.0,2.0,2.0
26.0,2.0,2.0
7.701461,4.0,2.0
15.402922,2.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,4.0,2.0
9.0,2.0,2.0
15.402922,2.0,2.0
10.268615,3.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,3.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
9.0,2.0,2.0
0.0,3.0,2.0
0.0,2.0,2.0
0.0,3.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,3.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
8.0,3.0,2.0
12.0,2.0,2.0
0.0,2.0,2.0
10.268615,3.0,2.0
8.333333,3.0,2.0
12.0,2.0,2.0
0.0,2.0,2.0
10.268615,3.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
8.333333,3.0,2.0
12.5,2.0,2.0
9.0,2.0,2.0
13.5,2.0,2.0
16.224981,2.0,2.0
27.0,1.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
15.402922,2.0,2.0
0.0,2.0,2.0
12.5,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
9.0,2.0,2.0
12.5,2.0,2.0
9.0,2.0,2.0
15.402922,2.0,2.0
27.513634,2.0,2.0
0.0,1.0,2.0
0.0,2.0,2.0
50.0,2.0,2.0
50.803543,2.0,2.0
15.402922,2.0,2.0
12.5,2.0,2.0
9.0,2.0,2.0
31.320919,2.0,2.0
31.320919,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
53.333332,3.0,2.0
50.0,2.0,2.0
33.333332,3.0,2.0
26.842505,5.0,2.0
27.0,1.0,2.0
6.0,3.0,3.0
15.402922,2.0,3.0
15.402922,2.0,3.0
30.805843,1.0,3.0
0.0,2.0,3.0
20.880613,3.0,3.0
0.0,2.0,3.0
37.589893,1.0,3.0
18.794947,2.0,3.0
18.794947,2.0,3.0
9.0,2.0,3.0
0.0,1.0,3.0
0.0,1.0,3.0
0.0,2.0,3.0
0.0,20.0,3.0
0.0,2.0,3.0
18.794947,2.0,3.0
13.5,2.0,3.0
18.794947,2.0,3.0
20.0,3.0,3.0
9.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
31.320919,2.0,3.0
31.320919,2.0,3.0
0.0,2.0,3.0
8.948834,7.0,3.0
33.0,1.0,3.0
0.0,5.0,3.0
0.0,1.0,3.0
9.0,3.0,3.0
10.268615,3.0,3.0
0.0,4.0,3.0
15.402922,2.0,3.0
15.402922,2.0,3.0
0.0,2.0,3.0
0.0,1.0,3.0
0.0,1.0,3.0
18.0,1.0,3.0
0.0,1.0,3.0
16.224981,2.0,3.0
12.5,2.0,3.0
0.0,2.0,3.0
9.0,2.0,3.0
0.0,3.0,3.0
0.0,2.0,3.0
50.0,2.0,3.0
50.803543,2.0,3.0
18.794947,2.0,3.0
8.25,4.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
17.0,2.0,3.0
44.737507,3.0,3.0
4.5,4.0,3.0
18.794947,2.0,3.0
31.320919,2.0,3.0
16.224981,2.0,3.0
16.224981,2.0,3.0
15.402922,2.0,3.0
0.0,2.0,3.0
16.5,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
9.0,2.0,3.0
0.0,2.0,3.0
0.0,4.0,3.0
0.0,2.0,3.0
9.0,2.0,3.0
10.268615,3.0,3.0
0.0,2.0,3.0
9.0,2.0,3.0
0.0,3.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
13.5,2.0,3.0
13.5,2.0,3.0
0.0,2.0,3.0
13.5,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
67.10626,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
9.0,2.0,3.0
13.5,2.0,3.0
12.5,2.0,3.0
59.5,2.0,3.0
34.687893,2.0,3.0
18.794947,2.0,3.0
100.0,1.0,3.0
92.5,2.0,3.0
13.0,4.0,3.0
0.0,2.0,3.0
0.0,1.0,3.0
8.333333,3.0,3.0
13.5,2.0,3.0
0.0,2.0,3.0
0.0,1.0,3.0
67.10626,2.0,3.0
67.10626,2.0,3.0
67.10626,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,3.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
15.402922,2.0,3.0
15.402922,2.0,3.0
12.5,2.0,3.0
12.5,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
8.333333,3.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
16.5,2.0,3.0
67.10626,2.0,3.0
66.5,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
44.333332,3.0,3.0
133.0,1.0,3.0
66.5,2.0,3.0
66.5,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,3.0,3.0
0.0,1.0,3.0
6.0,3.0,3.0
9.0,2.0,3.0
16.224981,2.0,3.0
0.0,3.0,3.0
0.0,2.0,3.0
32.449963,1.0,3.0
0.0,2.0,3.0
66.5,2.0,3.0
9.0,2.0,3.0
0.0,2.0,3.0
44.333332,3.0,3.0
0.0,2.0,3.0
16.224981,2.0,3.0
0.0,4.0,3.0
7.701461,4.0,3.0
0.0,4.0,3.0
15.402922,2.0,3.0
0.0,2.0,3.0
13.5,2.0,3.0
13.5,2.0,3.0
18.0,1.0,3.0
15.402922,2.0,3.0
10.268615,3.0,3.0
15.402922,2.0,3.0
0.0,2.0,3.0
16.5,2.0,3.0
17.0,2.0,3.0
33.55313,4.0,3.0
18.794947,2.0,3.0
12.5,2.0,3.0
31.320919,2.0,3.0
31.320919,2.0,3.0
0.0,2.0,3.0
12.5,2.0,3.0
15.402922,2.0,3.0
0.0,2.0,3.0
9.0,2.0,3.0
0.0,2.0,3.0
13.5,2.0,3.0
0.0,2.0,3.0
9.0,2.0,3.0
0.0,2.0,3.0
6.0,3.0,3.0
33.55313,4.0,3.0
16.5,2.0,3.0
16.5,2.0,3.0
66.5,2.0,3.0
33.55313,4.0,3.0
33.0,1.0,3.0
16.224981,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
16.224981,2.0,3.0
18.0,1.0,3.0
4.5,4.0,3.0
0.0,2.0,3.0
0.0,1.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,4.0,3.0
16.224981,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
37.589893,1.0,3.0
33.0,2.0,3.0
0.0,2.0,3.0
12.529964,3.0,3.0
13.5,2.0,3.0
0.0,2.0,3.0
0.0,1.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
6.0,3.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,4.0,3.0
16.224981,2.0,3.0
16.224981,2.0,3.0
15.402922,2.0,3.0
0.0,3.0,3.0
0.0,1.0,3.0
26.0,2.0,3.0
17.333334,3.0,3.0
15.402922,2.0,3.0
0.0,2.0,3.0
15.402922,2.0,3.0
17.333334,3.0,3.0
0.0,2.0,3.0
25.333334,3.0,3.0
12.0,2.0,3.0
9.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
18.0,1.0,3.0
133.0,0.0,3.0
9.0,2.0,3.0
18.0,1.0,3.0
37.589893,0.0,3.0
0.0,2.0,3.0
37.589893,1.0,3.0
0.0,8.0,4.0
0.0,2.0,4.0
0.0,2.0,4.0
9.444445,9.0,4.0
0.0,7.0,4.0
4.0562453,8.0,4.0
3.857143,7.0,4.0
0.0,8.0,1.0
0.0,2.0,1.0
0.0,1.0,1.0
0.0,2.0,1.0
0.0,4.0,1.0
0.0,3.0,1.0
32.449963,1.0,1.0
0.0,2.0,1.0
67.10626,2.0,1.0
0.0,8.0,1.0
69.666664,3.0,1.0
33.0,1.0,1.0
18.0,1.0,1.0
16.5,2.0,1.0
18.0,1.0,1.0
0.0,1.0,1.0
0.0,3.0,1.0
133.0,1.0,1.0
0.0,1.0,1.0
32.449963,1.0,1.0
9.0,2.0,1.0
52.201534,1.0,1.0
0.0,2.0,1.0
0.0,1.0,1.0
0.0,0.0,1.0
0.0,2.0,1.0
0.0,1.0,1.0
0.0,3.0,1.0
0.0,13.0,1.0
52.0,1.0,1.0
0.0,4.0,1.0
0.0,5.0,1.0
0.0,1.0,1.0
0.0,2.0,1.0
0.0,1.0,1.0
85.0,1.0,1.0
52.0,1.0,1.0
0.0,2.0,1.0
0.5854378,107.0,1.0
44.737507,3.0,1.0
27.0,1.0,1.0
0.0,2.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,0.0,1.0
0.0,3.0,1.0
0.0,2.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
16.5,2.0,1.0
33.0,1.0,1.0
0.0,1.0,1.0
0.0,2.0,1.0
0.0,0.0,1.0
0.0,2.0,1.0
0.0,2.0,1.0
0.0,3.0,1.0
0.0,2.0,1.0
0.0,2.0,1.0
18.0,1.0,1.0
27.0,1.0,1.0
9.0,2.0,1.0
25.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,2.0,1.0
0.0,1.0,1.0
18.794947,2.0,1.0
0.0,5.0,1.0
38.470768,1.0,1.0
19.235384,2.0,1.0
38.470768,1.0,1.0
0.0,1.0,1.0
66.5,2.0,1.0
18.0,1.0,1.0
18.0,1.0,1.0
27.0,1.0,1.0
27.0,1.0,1.0
67.10626,2.0,1.0
44.333332,3.0,1.0
50.0,2.0,1.0
37.589893,1.0,1.0
50.803543,2.0,1.0
0.0,0.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,5.0,1.0
0.0,1.0,1.0
0.0,3.0,1.0
0.0,9.0,1.0
18.0,1.0,1.0
6.0,3.0,1.0
6.489992,5.0,1.0
10.816654,3.0,1.0
0.0,2.0,1.0
6.0,3.0,1.0
0.0,2.0,1.0
0.0,2.0,1.0
10.816654,3.0,1.0
32.0,5.0,1.0
92.936806,2.0,1.0
0.0,2.0,1.0
61.95787,3.0,1.0
0.0,7.0,1.0
92.936806,2.0,1.0
133.0,1.0,1.0
0.0,2.0,5.0
15.402922,2.0,5.0
0.0,2.0,5.0
44.737507,3.0,5.0
18.0,1.0,5.0
15.402922,2.0,5.0
15.402922,2.0,5.0
32.449963,1.0,5.0
0.0,2.0,5.0
66.5,2.0,5.0
0.0,2.0,5.0
15.402922,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
6.0,3.0,5.0
0.0,2.0,5.0
44.333332,3.0,5.0
66.5,2.0,5.0
16.224981,2.0,5.0
0.0,2.0,5.0
38.0,2.0,5.0
26.100767,2.0,5.0
15.402922,2.0,5.0
18.0,1.0,5.0
13.5,2.0,5.0
0.0,2.0,5.0
34.20526,2.0,5.0
0.0,2.0,5.0
15.402922,2.0,5.0
16.224981,2.0,5.0
66.5,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
18.794947,2.0,5.0
44.333332,3.0,5.0
15.402922,2.0,5.0
15.402922,2.0,5.0
80.0,2.0,5.0
9.0,2.0,5.0
6.75,4.0,5.0
15.402922,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
30.805843,1.0,5.0
12.5,2.0,5.0
31.320919,2.0,5.0
62.641838,1.0,5.0
15.402922,2.0,5.0
0.0,2.0,5.0
12.5,2.0,5.0
12.5,2.0,5.0
15.402922,2.0,5.0
12.5,2.0,5.0
0.0,2.0,5.0
0.0,3.0,5.0
9.0,2.0,5.0
13.5,2.0,5.0
0.0,3.0,5.0
9.0,2.0,5.0
9.0,2.0,5.0
0.0,2.0,5.0
15.402922,2.0,5.0
0.0,2.0,5.0
12.5,2.0,5.0
0.0,1.0,5.0
10.268615,3.0,5.0
27.513634,2.0,5.0
0.0,2.0,5.0
67.10626,2.0,5.0
0.0,2.0,5.0
0.0,1.0,5.0
0.0,2.0,5.0
134.21252,0.0,5.0
0.0,2.0,5.0
