Total angle changed vs. Average speed from (560, 302) to (790, 323)
Average speed (points/sec)
Total angle changed (radians)
207.94344,0.95234865,5.0
38.472,3.5896165,5.0
22.459297,1.8094057,5.0
17.687414,2.634494,5.0
114.73704,0.037726417,5.0
19.793715,2.0718868,5.0
39.690098,1.332187,5.0
192.06265,0.6803458,5.0
98.79836,6.811034,5.0
31.630365,0.0,5.0
16.880447,3.513087,5.0
127.224686,0.87050015,5.0
18.0,3.1415927,5.0
18.398369,0.82384074,5.0
1.1025183,0.82384074,5.0
86.72946,0.0,5.0
22.536612,0.48580515,5.0
46.18485,1.4267256,5.0
90.59778,0.9213301,5.0
23.324644,0.26678482,5.0
68.34735,1.0907788,5.0
19.931673,0.7087928,5.0
57.14424,0.27165774,5.0
17.189507,0.98526716,5.0
28.928556,1.7471625,5.0
73.42128,0.14011475,5.0
51.29571,0.17636615,5.0
32.77598,1.3231432,5.0
31.32634,0.12240187,5.0
23.138826,0.35535792,5.0
0.0,0.08599429,5.0
18.86013,1.2847931,5.0
41.22877,2.6057436,5.0
123.787415,0.07677189,5.0
63.76282,1.2480462,5.0
14.768849,5.5362296,5.0
22.387167,2.7583084,5.0
20.347675,3.5644467,5.0
86.94116,0.33387262,5.0
22.5,3.1415927,5.0
34.318768,0.0,5.0
51.29571,0.43435982,5.0
16.5931,5.280676,5.0
228.06128,0.85843873,5.0
64.7444,0.328711,5.0
13.135706,2.8188424,5.0
50.77182,0.0,5.0
18.398369,0.82384074,5.0
34.19714,0.17636615,5.0
109.63908,0.91071665,5.0
29.068884,0.6803458,5.0
35.392906,5.6615033,5.0
23.287146,1.7405746,5.0
12.63913,4.8932652,5.0
20.382742,0.85843873,5.0
107.935455,0.6920524,5.0
18.398369,0.0,5.0
4.385814,2.6697962,5.0
46.065994,0.6435011,5.0
156.91467,0.9066587,5.0
179.95584,0.30938414,2.0
46.085884,0.085102014,2.0
13.212723,0.30938414,2.0
23.718908,0.0,2.0
31.65927,0.6866332,2.0
8.419157,0.0,2.0
57.36852,0.037726417,2.0
31.891716,0.0,2.0
13.937362,0.0,2.0
8.633952,0.0,2.0
10.251416,0.82384074,2.0
7.656339,3.6426833,2.0
11.708311,0.7120555,2.0
22.70614,0.03584122,2.0
568.28516,0.0,2.0
101.0398,0.85843873,2.0
104.556435,0.35100004,2.0
29.369123,2.6365156,2.0
17.684814,2.394637,2.0
20.991426,0.0,2.0
33.300957,0.06377989,2.0
57.250328,0.0,2.0
9.106475,2.846746,2.0
11.310463,3.6426833,2.0
14.021054,3.7828057,2.0
26.239283,0.0,2.0
46.952793,9.212705,2.0
78.89542,6.0567937,2.0
172.2353,0.052277904,2.0
229.64708,0.0,2.0
25.675358,6.2872434,2.0
30.628609,0.27165774,2.0
24.86076,0.27165774,2.0
23.459118,1.1104593,2.0
25.250414,1.0094367,2.0
38.522602,0.02448847,2.0
62.146763,0.06221489,2.0
0.0,0.0,2.0
26.100767,0.0,2.0
19.705317,1.4866555,2.0
23.933823,0.0,2.0
105.0,0.0,2.0
26.100767,0.0,2.0
25.888552,4.712389,2.0
8.699918,3.319933,2.0
0.9092464,1.3274671,2.0
64.547485,0.4480239,2.0
71.157715,0.13863973,2.0
48.929127,0.8917371,2.0
7.255257,2.8957276,2.0
32.195114,1.8094057,2.0
24.554636,1.332187,2.0
57.36852,0.037726417,2.0
41.237747,0.6739338,2.0
172.2353,0.31852996,2.0
112.72112,0.4480239,2.0
57.14424,0.27165774,2.0
21.304401,1.332187,2.0
6.9074364,3.343355,2.0
12.553254,2.0718868,2.0
14.823427,0.2652071,2.0
145.12486,0.15057571,2.0
9.641902,1.4856943,2.0
0.0,0.0,2.0
20.245188,2.9952085,2.0
10.527729,2.0718868,2.0
0.1644664,0.0,2.0
131.12563,0.1663863,2.0
12.231062,10.696643,2.0
12.843819,3.125988,2.0
151.27126,0.20751315,2.0
16.403204,0.23860933,2.0
238.09091,0.074729204,2.0
45.34591,0.059864167,2.0
29.574837,2.6812556,2.0
13.697996,7.015875,2.0
30.899305,0.8917371,2.0
21.940374,1.0521988,2.0
35.706333,0.06221489,2.0
17.89071,0.4480239,2.0
38.522602,0.02448847,2.0
186.71703,0.048219964,2.0
289.07654,0.20285362,2.0
149.37363,6.938894E-18,2.0
37.002274,0.0,2.0
32.63898,0.744255,2.0
23.541243,1.0094367,2.0
6.529816,5.5362296,2.0
13.547507,1.1104593,2.0
124.712395,0.0,2.0
57.14424,0.27165774,2.0
16.345146,2.8188424,2.0
3.1652951,0.0,2.0
146.71834,0.91071665,2.0
10.262688,1.0262468,2.0
189.84325,0.0,2.0
34.54233,0.8917371,2.0
16.177088,1.8542175,2.0
11.529857,2.394637,2.0
3.2301798,6.2831855,2.0
14.718696,0.0,2.0
18.398369,0.0,2.0
1.1544012,0.0,2.0
12.521741,6.03732,2.0
12.265579,0.0,2.0
0.9971735,0.7469556,2.0
8.833387,10.171734,2.0
32.195114,1.332187,2.0
89.035805,0.17636615,2.0
28.323605,1.2382483,2.0
8.003428,1.1875122,2.0
7.6900177,2.7583084,2.0
194.01361,0.048219964,2.0
201.22607,0.006958992,2.0
186.71703,0.31447202,2.0
64.09272,0.052277904,2.0
142.1249,0.20749623,2.0
32.01279,2.9340963,2.0
44.700417,1.4157422,2.0
11.208821,1.8332776,2.0
73.892845,0.022871828,2.0
153.67218,0.4405966,2.0
32.205433,3.0719197,2.0
122.43245,0.85843873,2.0
138.91162,0.20557295,2.0
18.825434,2.580233,2.0
1.4611619,7.626172,2.0
8.992151,2.1192365,2.0
43.416588,0.13863973,2.0
68.148735,0.328711,2.0
57.36852,0.037726417,2.0
51.29571,0.0,2.0
40.689384,0.101022586,2.0
13.721312,0.0,2.0
6.690627,1.0462837,2.0
2.6634786,0.0,2.0
16.067383,1.6098644,2.0
42.150646,0.27165774,2.0
100.84563,0.41381302,2.0
86.84439,0.0,2.0
51.29571,0.0,2.0
25.567827,0.3077507,2.0
21.479322,0.57309234,2.0
6.5983925,1.0714496,2.0
113.198685,0.048219964,2.0
80.95149,0.6920524,2.0
0.0,0.35354197,2.0
142.15231,0.4480239,2.0
109.80437,0.33387262,2.0
67.32198,0.30938414,2.0
57.36852,0.037726417,2.0
