Speed angle vs. Modulus speed from (100, 302) to (330, 323)
Modulus speed (points/sec)
Speed angle (radians)
0.0,0.09596104,5.0
18.35756,0.5123895,5.0
18.35756,0.5123895,5.0
16.0,-0.0,5.0
11.0,-0.0,5.0
49.327984,0.18347995,5.0
49.327984,0.18347995,5.0
12.529964,-0.49934673,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
0.0,0.18164884,5.0
0.0,-0.17809294,5.0
0.0,-0.17809294,5.0
0.0,0.0,5.0
32.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
2.3493683,0.49934673,5.0
33.723137,0.2701532,5.0
0.0,0.2701532,5.0
0.0,0.2701532,5.0
0.0,0.18164884,5.0
0.0,0.18164884,5.0
0.0,0.18164884,5.0
0.0,0.18164884,5.0
10.5,-0.0,5.0
29.287844,0.20632389,5.0
33.723137,0.2701532,5.0
0.0,0.2701532,5.0
0.0,0.2701532,5.0
10.5,-0.0,5.0
10.5,0.0,5.0
0.0,-0.0,5.0
0.0,0.2896331,5.0
0.0,0.2896331,5.0
0.0,0.2896331,5.0
0.0,0.2896331,5.0
0.0,0.25168997,5.0
21.5,0.0,5.0
32.5,-0.0,5.0
32.5,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
32.5,0.0,5.0
0.0,0.05264452,5.0
0.0,0.05264452,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
37.589893,0.49934673,5.0
18.794947,0.49934673,5.0
0.0,0.1746722,5.0
9.0,-1.5707964,5.0
18.35756,0.5123895,5.0
0.0,0.5123895,5.0
0.0,0.5123895,5.0
18.35756,0.5123895,5.0
10.5,-0.0,5.0
0.0,-0.0,5.0
26.5,0.0,5.0
26.5,-0.0,5.0
29.287844,0.20632389,5.0
9.0,-1.5707964,5.0
0.0,-1.5707964,5.0
0.0,0.14301687,5.0
9.0,1.5707964,5.0
33.723137,0.2701532,5.0
0.0,0.2701532,5.0
0.0,0.2701532,5.0
0.0,0.2701532,5.0
0.0,0.2701532,5.0
86.0,-0.0,5.0
19.235384,-0.48689923,5.0
27.5,0.0,5.0
32.5,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
32.5,0.0,5.0
0.0,0.058991875,5.0
0.0,-0.96441346,5.0
0.0,-0.96441346,5.0
21.5,-0.0,5.0
43.0,0.0,5.0
0.0,0.0,5.0
16.0,0.0,5.0
16.0,-0.0,5.0
32.5,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
109.48972,0.16514868,5.0
33.723137,0.2701532,5.0
0.0,0.2701532,5.0
32.5,0.0,5.0
0.0,0.0,5.0
21.666666,-0.0,5.0
0.0,-0.44247213,5.0
0.0,-0.07241203,5.0
22.482092,0.2701532,5.0
0.0,0.2701532,5.0
8.6,-0.0,5.0
11.0,-0.0,5.0
38.5,-0.0,5.0
0.0,-0.0,5.0
16.0,-0.0,5.0
10.5,-0.0,5.0
0.0,-0.0,5.0
16.5,-0.0,5.0
0.0,0.09454487,5.0
0.0,-0.0,5.0
32.5,-0.0,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
11.0,0.0,5.0
0.0,0.0,5.0
21.5,0.0,5.0
21.666666,0.0,5.0
26.5,-0.0,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
13.829317,-0.7086263,5.0
0.0,-0.7086263,5.0
0.0,-0.7086263,5.0
21.5,-0.0,5.0
0.0,-0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
33.0,-0.0,5.0
16.0,-0.0,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
13.829317,-0.7086263,5.0
0.0,-0.7086263,5.0
0.0,-0.7086263,5.0
16.5,-0.0,5.0
16.5,0.0,5.0
0.0,0.0,5.0
54.74486,0.16514868,5.0
0.0,0.47501075,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
16.5,-0.0,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
9.0,1.5707964,5.0
0.0,1.5707964,5.0
14.21267,0.6857295,5.0
0.0,0.6857295,5.0
39.537956,-0.22964244,5.0
19.235384,-0.48689923,5.0
43.0,0.0,5.0
38.56488,0.23554498,5.0
0.0,0.23554498,5.0
18.35756,0.5123895,5.0
18.35756,0.5123895,5.0
0.0,0.5123895,5.0
18.35756,0.5123895,5.0
10.5,-0.0,5.0
32.5,-0.0,5.0
43.0,0.0,5.0
33.723137,0.2701532,5.0
0.0,-0.24551457,5.0
21.666666,-0.0,5.0
0.0,-0.0,5.0
0.0,0.69287956,5.0
0.0,-0.427798,5.0
65.0,-0.0,5.0
67.44627,0.2701532,5.0
67.44627,0.2701532,5.0
21.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
121.34249,-0.14888994,5.0
79.07591,-0.22964244,5.0
39.537956,-0.22964244,5.0
38.470768,-0.48689923,5.0
19.235384,-0.48689923,5.0
79.07591,-0.22964244,5.0
79.07591,-0.22964244,5.0
0.0,0.19078408,5.0
25.666666,-0.0,5.0
0.0,0.47501075,5.0
0.0,-0.5055811,5.0
39.537956,-0.22964244,5.0
27.5,-0.0,5.0
0.0,0.0,5.0
0.0,-0.0,5.0
0.37323943,0.0,5.0
0.0,0.0,5.0
0.0,-0.44247213,5.0
0.0,-0.44247213,5.0
0.0,1.0939916,5.0
0.0,-0.11710875,5.0
0.0,-0.11710875,5.0
0.0,-0.11710875,5.0
0.9239216,0.2701532,5.0
0.0,0.2701532,5.0
0.0,0.32855317,5.0
0.0,0.32855317,5.0
0.0,0.32855317,5.0
0.0,0.32855317,5.0
0.0,0.32855317,5.0
0.0,0.32855317,5.0
0.0,0.32855317,5.0
18.35756,0.5123895,5.0
16.5,0.0,5.0
0.0,0.043450896,5.0
16.0,-0.0,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
32.5,-0.0,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
33.723137,0.2701532,5.0
0.0,0.060782574,5.0
0.0,-0.5354195,5.0
16.5,-0.0,5.0
16.0,-0.0,5.0
16.0,0.0,5.0
0.0,0.0,5.0
16.0,-0.0,5.0
0.0,0.0,5.0
36.71512,0.5123895,5.0
0.0,0.5123895,5.0
0.0,0.5123895,5.0
0.0,0.5123895,5.0
11.0,0.0,5.0
152.06906,0.11864543,5.0
33.723137,0.2701532,5.0
0.0,0.2701532,5.0
0.0,0.2701532,5.0
0.0,-0.0,5.0
18.35756,0.5123895,5.0
0.0,0.5123895,5.0
0.0,0.5123895,5.0
0.0,0.5123895,5.0
0.0,0.5123895,5.0
0.0,-0.025598958,5.0
0.0,-0.025598958,5.0
32.5,-0.0,5.0
16.0,0.0,5.0
16.0,-0.0,5.0
0.0,-0.0,5.0
11.0,0.0,5.0
0.0,0.4837791,5.0
0.0,0.4837791,5.0
10.5,0.0,5.0
21.0,0.0,5.0
0.0,0.0,5.0
16.0,0.0,5.0
0.0,0.18164884,5.0
0.0,0.09596104,5.0
6.6,0.0,5.0
12.238373,0.5123895,5.0
16.5,0.0,5.0
16.5,-0.0,5.0
18.35756,0.5123895,5.0
32.5,0.0,5.0
77.0,-0.0,5.0
0.0,-0.0,5.0
9.0,-1.5707964,5.0
9.0,1.5707964,5.0
0.0,0.0,5.0
13.829317,-0.7086263,5.0
13.829317,-0.7086263,5.0
0.0,-0.7086263,5.0
0.0,-0.7086263,5.0
33.723137,0.2701532,5.0
0.0,0.2701532,5.0
59.682495,0.15137544,5.0
0.0,-0.90975314,5.0
79.07591,-0.22964244,5.0
21.5,0.0,5.0
13.829317,-0.7086263,5.0
0.0,-0.7086263,5.0
26.5,0.0,5.0
0.0,0.0,5.0
16.5,0.0,5.0
0.0,0.0,5.0
33.723137,0.2701532,5.0
9.0,1.5707964,5.0
0.0,1.5707964,5.0
0.0,0.0,5.0
77.12976,0.23554498,5.0
16.5,0.0,5.0
33.723137,0.2701532,5.0
33.723137,0.2701532,5.0
16.5,-0.0,5.0
0.0,-0.0,5.0
18.35756,0.5123895,5.0
13.829317,-0.7086263,5.0
0.0,-0.7086263,5.0
23.769728,0.38831872,5.0
23.769728,0.38831872,5.0
40.0,0.0,5.0
10.5,-0.0,5.0
10.5,0.0,5.0
9.17878,0.5123895,5.0
18.794947,-0.49934673,5.0
16.5,-0.0,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
16.0,-0.0,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
49.5,0.0,5.0
0.0,0.6857295,5.0
12.529964,-0.49934673,5.0
0.0,0.060782574,5.0
0.0,0.26371184,5.0
53.0,-0.0,5.0
0.0,-0.0,5.0
27.658634,-0.7086263,5.0
0.0,-0.7086263,5.0
57.870544,-0.31628612,5.0
11.0,0.0,5.0
0.0,-1.5707964,5.0
0.0,-0.0,5.0
11.0,-0.0,5.0
21.5,0.0,5.0
18.35756,0.5123895,5.0
16.5,0.0,5.0
13.829317,-0.7086263,5.0
0.0,0.9129077,5.0
9.0,-1.5707964,5.0
0.0,0.6055447,5.0
18.35756,0.5123895,5.0
13.829317,-0.7086263,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0670748,5.0
25.666666,0.0,5.0
0.0,-0.4636476,5.0
32.5,0.0,5.0
0.0,0.0,5.0
9.0,1.5707964,5.0
0.0,1.5707964,5.0
33.723137,0.2701532,5.0
0.0,0.2701532,5.0
32.5,0.0,5.0
0.0,0.6857295,5.0
0.0,0.6857295,5.0
0.0,0.6857295,5.0
53.0,-0.0,5.0
0.0,-0.0,5.0
0.0,1.2298174,5.0
0.0,1.2298174,5.0
0.0,1.2298174,5.0
0.0,-0.13863973,5.0
55.97321,0.3274002,5.0
0.0,0.3274002,5.0
10.5,0.0,5.0
21.0,-0.0,5.0
87.86353,0.20632389,5.0
0.0,0.20632389,5.0
67.44627,0.2701532,5.0
0.0,0.2701532,5.0
0.0,0.2701532,5.0
0.0,-0.0,5.0
98.65597,0.18347995,5.0
33.723137,0.2701532,5.0
0.0,0.2701532,5.0
67.44627,0.2701532,5.0
13.829317,-0.7086263,5.0
0.0,-1.5707964,5.0
0.0,-0.0,5.0
0.0,0.07429279,5.0
60.671246,-0.14888994,5.0
21.666666,-0.0,5.0
32.5,0.0,5.0
28.666666,0.0,5.0
32.5,-0.0,5.0
16.5,0.0,5.0
17.666666,-0.0,5.0
0.0,-0.0,5.0
0.0,-0.0,5.0
23.769728,0.38831872,5.0
0.0,0.38831872,5.0
28.935272,-0.31628612,5.0
11.884864,0.38831872,5.0
43.0,0.0,5.0
43.0,-0.0,5.0
0.0,-0.0,5.0
28.666666,0.0,5.0
43.0,-0.0,5.0
14.21267,0.6857295,5.0
13.829317,-0.7086263,5.0
33.723137,0.2701532,5.0
0.0,0.2701532,5.0
0.0,0.18164884,5.0
0.0,0.39479113,5.0
0.0,0.39479113,5.0
0.0,-1.2442149,5.0
27.5,-0.0,5.0
21.5,0.0,5.0
0.0,0.0,5.0
16.0,0.0,5.0
0.0,0.0,5.0
16.5,0.0,5.0
33.723137,0.2701532,5.0
0.0,0.2701532,5.0
0.0,0.2701532,5.0
0.0,0.2701532,5.0
32.5,-0.0,5.0
0.0,-0.0,5.0
28.935272,-0.31628612,5.0
0.0,-0.31628612,5.0
0.0,-0.31628612,5.0
86.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
32.5,0.0,5.0
43.931767,0.20632389,5.0
