Path length vs. Time spent from (560, 343) to (790, 364)
Time spent (sec)
Path length (points/sec)
2.260124,15.114709,1.0
11.445108,1241.3247,1.0
6.769018,857.33075,1.0
0.9925908,38.28954,1.0
4.0,24.0,1.0
2.295238,31.40367,1.0
0.42716017,24.572315,1.0
0.5033928,57.376186,1.0
0.21355677,14.901386,1.0
1.316003,14.489904,1.0
0.103703596,14.27724,1.0
0.29498795,14.136218,1.0
2.8351357,14.094226,1.0
1.1268151,91.00142,1.0
0.18148156,14.354062,1.0
0.1555554,14.27724,1.0
0.13827148,14.5172615,1.0
3.7575717,113.956184,1.0
0.015602891,3.8886588,1.0
3.3618004,259.31082,1.0
3.0153847,56.476788,1.0
6.3415856,531.42664,1.0
8.051695,299.517,1.0
2.8181775,235.50954,1.0
2.2641506,15.71196,1.0
1.0980393,56.772453,1.0
1.7047982,170.9818,1.0
0.37827414,94.16014,1.0
1.0153607,89.68538,1.0
1.4369907,14.503794,1.0
2.1679008,24.572315,1.0
2928.2346,926.4742,1.0
0.15555555,14.517271,1.0
13.051852,36.78953,1.0
2.7695768,110.62633,1.0
3.151234,66.89894,1.0
2.736923,341.35388,1.0
7.0389843,1863.7598,1.0
9.044161,830.6779,1.0
0.26415113,14.702568,1.0
