PhoneID,Track,Total path length,Total time stopped,Total number of stops,Total time spent,Total inactive time,Total change in speed theta,Total time spent per stop,Total average speed,Total times appeared in this area
5,14,0,0,0,0,0,0,0,0,0
5,15,0,0,0,0,0,0,0,0,0
5,16,31.77456051,0,0,4.648582929,0,1.07E-04,0,6.835321861,1
5,17,90.03637599,0,0,1.409137975,0,0.264904925,0,63.89464879,2
5,18,0,0,0,0,0,0,0,0,0
5,19,182.6199005,0,0,9.767140531,0,0.099042856,0,18.69737616,3
5,20,0,0,0,0,0,0,0,0,0
5,21,120.4972107,0,0,0,0,0.218592127,0,0,1
5,22,0,0,0,0,0,0,0,0,0
5,23,71.42823092,0,0,4.293208673,0,1.517367763,0,16.63749339,3
5,24,0,0,0,0,0,0,0,0,0
5,25,93.11382304,0,0,1,0,0.037469011,0,93.11382304,2
5,26,98.8460309,0,0,1.597451464,0,3.26E-04,0,61.87732968,1
5,27,266.5933572,0,0,13.69414542,11,3.315238389,0,19.4676885,3
5,28,29.09331254,0,0,1,0,0.083137766,0,29.09331254,1
5,29,92.69437801,0,1,0,0,6.272056813,0,0,2
5,30,80.35321397,0,0,0,0,0.001027702,0,0,1
5,31,141.8663778,0,1,56.46009495,340,0.620504303,0,2.51268401,1
5,32,190.536629,5,1,52,46,4.785123954,5,3.664165943,1
5,33,310.2708244,0,1,7.571932804,0,2.118213234,0,40.97643659,4
5,34,0,0,0,0,0,0,0,0,0
5,35,119.2567303,0,0,6,0,0.335909269,0,19.87612172,1
5,36,0,0,0,0,0,0,0,0,0
5,37,55.14104777,0,0,1,0,0.051327281,0,55.14104777,1
5,38,0,0,0,0,0,0,0,0,0
5,39,130.245733,0,0,0,0,0.663508598,0,0,1
5,40,0,0,0,0,0,0,0,0,0
5,41,110.9951283,0,0,0.54098029,0,2.170863041,0,205.1740709,1
5,42,0,0,0,0,0,0,0,0,0
5,43,71.97472573,0,1,0,0,2.796890811,0,0,2
5,44,0,0,0,0,0,0,0,0,0
5,45,42.18082249,0,0,0,0,0.431288309,0,0,1
5,46,0,0,0,0,0,0,0,0,0
5,47,340.1796512,0,2,32.77405505,26,10.20480678,0,10.37954109,6
5,48,0,0,0,0,0,0,0,0,0
5,49,31.56645406,12,1,12,0,1.850436142,12,2.630537838,1
5,50,12.31396452,0,0,2.539001425,0,0.079329022,0,4.849924227,1
5,51,0,0,0,0,0,0,0,0,0
5,52,0,0,0,0,0,0,0,0,0
5,53,0,0,0,0,0,0,0,0,0
5,54,130.6514049,11,1,6.144673389,0,0.324830293,11,21.26254669,2
5,55,283.1998702,0,1,0,0,2.296707151,0,0,4
5,56,0,0,0,0,0,0,0,0,0
5,57,51.94051055,0,0,0,0,2.589061614,0,0,2
