Speed angle changed vs. Modulus speed from (100, 343) to (330, 364)
Modulus speed (points/sec)
Speed angle changed (radians)
39.427147,-0.21729343,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
75.0,-0.59374964,1.0
0.0,0.0,1.0
100.44899,-1.0688918,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
17.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
11.0,0.0,1.0
27.802877,0.6578886,1.0
17.0,-2.228685,1.0
5.6666665,3.1415927,1.0
22.0,-0.41071695,1.0
7.3333335,-0.79663366,1.0
0.0,0.0,1.0
14.333333,0.96441346,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
17.0,0.47689188,1.0
0.0,0.0,1.0
0.0,0.0,1.0
38.451267,0.8842485,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
33.482998,-0.17005862,1.0
50.224495,0.0,1.0
0.0,0.0,1.0
119.218285,-1.7138796,1.0
0.0,0.0,1.0
0.0,0.0,1.0
46.238514,-0.5879231,1.0
0.0,0.0,1.0
0.0,0.0,1.0
23.119257,-1.4456826,1.0
0.0,0.0,1.0
0.0,0.0,1.0
25.112247,-0.3688889,1.0
0.0,0.0,1.0
17.0,0.17005862,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
1.5714285,0.0,1.0
38.5,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
27.802877,-1.622302,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
22.395435,0.40208003,1.0
5.7798142,-0.12068177,1.0
17.0,1.0691923,1.0
67.18631,-0.25580856,1.0
0.0,0.0,1.0
27.802877,-1.2634332,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
76.902534,0.4628293,1.0
0.0,0.0,1.0
0.0,0.0,1.0
36.0,0.22290023,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
43.0,0.35691193,1.0
1.05,0.12808284,1.0
0.0,0.0,5.0
18.56071,-2.0464916,5.0
0.0,0.0,5.0
0.0,0.0,5.0
16.796577,-0.8613532,5.0
16.0,0.25580856,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
16.5,0.0,5.0
0.0,0.0,5.0
27.82984,-0.3103874,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
10.5,-1.2298174,5.0
16.0,0.0,5.0
18.56071,-0.47569522,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
59.0,0.16839015,5.0
0.0,0.0,5.0
0.0,0.0,5.0
152.0,0.06735826,5.0
0.0,0.0,5.0
76.0,0.25209597,5.0
0.0,0.0,5.0
75.0,0.38687572,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
27.332443,-0.761671,5.0
11.0,0.15612637,5.0
76.0,-1.0943289,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
11.0,-0.41822433,5.0
37.5,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
8.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
17.0,1.2442149,2.0
0.0,0.0,2.0
0.0,0.0,2.0
17.666666,-1.1160771,2.0
0.0,0.0,2.0
14.333333,-0.96441346,2.0
21.5,0.0,2.0
13.901439,-0.6578886,2.0
17.0,-1.5707964,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
59.0,-0.5305579,2.0
0.0,0.0,2.0
59.0,0.51314276,2.0
0.0,0.0,2.0
0.0,0.0,2.0
7.3333335,0.34555557,2.0
0.0,0.0,2.0
0.0,0.0,2.0
33.593155,-1.3718857,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
37.5,1.1071488,2.0
37.5,-0.0,2.0
0.0,0.0,2.0
39.333332,1.2442149,2.0
25.0,-0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
16.0,-0.28177187,2.0
0.0,0.0,2.0
33.593155,-0.25580856,2.0
0.0,0.0,2.0
75.97697,-0.11211071,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
38.0,-0.69287956,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
75.97697,-0.034286555,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
25.0,-0.5305579,2.0
0.0,0.0,2.0
0.0,0.0,2.0
75.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
54.664886,-0.3947357,2.0
0.0,0.0,2.0
0.0,0.0,2.0
21.5,-0.96441346,3.0
0.0,0.0,3.0
