Total angle changed vs. Path length from (790, 302) to (1020, 323)
Path length (points/sec)
Total angle changed (radians)
90.14184,1.6203277,3.0
76.941536,1.3858403,3.0
140.84656,0.9323293,3.0
64.68441,0.21739236,3.0
78.42809,0.41450688,3.0
128.79692,0.7235008,3.0
36.0,7.0463486,3.0
0.0,0.25184163,3.0
1400.6573,5.551115E-17,3.0
0.0,0.027474001,3.0
0.0,0.5880026,3.0
0.0,0.041355718,3.0
0.0,0.6857295,3.0
0.0,1.9930475,3.0
0.0,0.96333224,3.0
0.0,0.7717004,3.0
0.0,1.0713845,3.0
34.798786,0.943886,3.0
289.12994,0.7533952,3.0
0.0,2.3100734,3.0
595.8185,2.4714968,3.0
75.17979,2.8257382,3.0
512.6721,0.48842233,3.0
401.55365,0.7418551,3.0
0.0,0.28585958,3.0
0.0,0.28585958,3.0
0.0,1.2472852,3.0
0.0,0.3386029,3.0
341.55142,1.4389728,3.0
0.0,0.32652378,3.0
0.0,0.18998829,3.0
275.0664,0.55539227,3.0
124.720406,0.9129077,3.0
0.0,2.0576956,3.0
0.0,0.64633834,3.0
0.0,0.2603609,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.006434118,3.0
0.0,0.7816668,3.0
0.0,0.06861848,3.0
0.0,0.0,3.0
115.41231,1.2226912,3.0
0.0,0.6470472,3.0
0.0,0.8938577,3.0
22.14184,0.9491838,3.0
22.14184,0.9133426,3.0
38.470768,1.8867062,3.0
0.0,0.0,3.0
717.99097,0.8472955,3.0
415.0777,0.15130666,3.0
76.941536,1.4864656,3.0
314.88483,0.44472164,3.0
34.0,1.2270167,3.0
229.75784,1.967991,3.0
68.0,1.4703137,3.0
331.42188,0.93804747,3.0
0.0,0.71814847,3.0
47.591263,1.3151689,3.0
22.73354,1.020457,3.0
0.0,0.0,3.0
66.0,0.5549957,3.0
624.02203,0.7909695,3.0
101.607086,2.1622353,3.0
0.0,0.18057275,3.0
66.48518,0.32293028,3.0
0.0,0.28548884,3.0
38.470768,1.7275367,3.0
93.8501,0.9745455,3.0
0.0,0.38421455,3.0
0.0,0.52705455,3.0
38.470768,2.317454,3.0
0.0,0.028294334,3.0
0.0,0.05090053,3.0
