Speed Angle vs Modulus Speed from (87, 364) to (326, 385)
63.13937,-0.029920645,5.0
16.857143,-0.0,5.0
22.0,1.5707964,5.0
134.0,-0.0,5.0
20.666666,1.5707964,5.0
857.0,-0.0,5.0
68.88396,0.69287956,5.0
32.01779,-0.23109066,5.0
70.5,-0.0,5.0
335.0,-0.0,5.0
13.2,-0.0,5.0
106.01887,-0.6246354,5.0
37.725986,-0.96441346,5.0
1.8888888,1.5707964,5.0
79.12016,0.28177187,5.0
93.5,-0.0,5.0
39.246017,-0.59506965,5.0
100.79127,-0.6982952,5.0
9.838699,-1.1071488,5.0
56.0,-0.0,5.0
61.333332,-0.0,5.0
97.082436,-0.3250079,5.0
48.654392,0.69079095,5.0
46.38157,0.7320138,5.0
284.85083,-0.07731039,5.0
67.53518,-0.47689188,5.0
3.771625,-0.04763458,5.0
67.0,0.0,5.0
14.666667,1.5707964,5.0
18.75,-0.0,5.0
24.327196,0.69079095,5.0
35.598454,-1.0568767,5.0
37.725986,0.96441346,5.0
18.333334,-0.9272952,5.0
361.33224,-0.08589921,5.0
335.0,-0.0,5.0
59.0,-0.0,5.0
49.73178,-0.17176016,5.0
19.623009,-0.59506965,5.0
79.12016,0.28177187,5.0
411.5,-0.0,5.0
90.33306,-0.08589921,5.0
53.009434,-0.6246354,5.0
19.04238,0.4837791,5.0
24.596748,-1.1071488,5.0
686.0,-0.0,5.0
285.04425,-0.051476732,5.0
13.75,-0.9272952,5.0
99.8599,-0.57133746,5.0
213.5,-0.0,5.0
39.246017,-0.59506965,5.0
34.5,-0.0,5.0
34.88553,1.0943289,5.0
312.98282,-0.4143314,5.0
107.22785,-0.45113522,5.0
50.717354,-0.16839015,5.0
32.729958,-1.2442149,5.0
17.25,-0.0,5.0
2.9923594,0.7320138,5.0
39.246017,-0.59506965,5.0
34.44198,0.69287956,5.0
7.371834,-0.051476732,5.0
18.56071,-0.47569522,5.0
12.575329,-0.96441346,5.0
13.091982,-1.2442149,5.0
10.307015,0.7320138,5.0
44.913807,0.7617805,5.0
55.022137,-0.075192116,5.0
45.276924,-0.7541583,5.0
16.796577,-0.25580856,5.0
8.182489,-1.2442149,5.0
171.8524,-0.0640522,5.0
27.202942,-0.94200003,5.0
14.333333,-0.0,5.0
10.909986,-1.2442149,5.0
17.442764,1.0943289,5.0
21.819971,-1.2442149,5.0
20.719858,-0.845156,5.0
70.5195,-0.3172663,5.0
17.22099,0.69287956,2.0
37.5,-0.0,2.0
77.0,-0.0,2.0
724.33765,-0.060782574,2.0
167.98544,-0.6982952,2.0
329.12955,-0.5146238,2.0
50.717354,-0.16839015,2.0
59.0,-0.0,2.0
268.40314,-0.08205831,2.0
289.2542,-0.51314276,2.0
109.0,-0.0,2.0
109.33092,-0.07782415,2.0
529.6574,-0.65822816,2.0
263.50143,-0.2965458,2.0
284.85083,-0.07731039,2.0
200.66667,-0.0,2.0
75.97697,-0.11211071,2.0
17.0,-0.0,2.0
76.0,0.0,2.0
19.0,-0.0,2.0
17.5,-0.0,2.0
49.193497,-1.1071488,2.0
239.6101,-0.6343194,2.0
44.34242,-0.5191461,2.0
2.061403,0.7320138,2.0
126.286385,-0.06735826,2.0
312.98282,-0.4143314,2.0
17.22099,0.69287956,2.0
11.48066,0.69287956,2.0
112.57143,-0.0,2.0
50.717354,-0.16839015,2.0
101.43471,-0.16839015,2.0
13.776793,0.69287956,2.0
25.187298,-0.35691193,2.0
62.968246,-0.35691193,2.0
230.48862,-0.57837594,2.0
11.448772,-0.35691193,2.0
92.76314,0.7320138,2.0
112.74678,-0.05577964,2.0
343.5884,-0.49098456,2.0
26.504717,-0.6246354,2.0
57.560837,0.5687279,2.0
10.333333,1.5707964,2.0
9.727538,0.45215386,2.0
63.143192,-0.06735826,2.0
16.364979,-1.2442149,3.0
5.6666665,1.5707964,3.0
4.25,1.5707964,3.0
77.94517,-0.63580334,3.0
788.0,-0.0,3.0
43.0,0.0,3.0
16.0,0.0,3.0
21.929178,1.2298174,3.0
7.2733235,-1.2442149,3.0
10.75,0.0,3.0
32.729958,-1.2442149,3.0
18.56071,-0.47569522,3.0
31.0,1.5707964,3.0
16.0,0.0,3.0
7.9436793,0.9129077,3.0
32.729958,-1.2442149,3.0
28.111385,-0.89883316,3.0
14.666667,1.5707964,3.0
25.150658,-0.96441346,3.0
21.819971,-1.2442149,3.0
27.202942,-0.94200003,3.0
31.0,1.5707964,3.0
28.666666,-0.0,3.0
29.5,0.0,3.0
26.5,-0.0,3.0
66.5451,-0.12808284,3.0
153.65907,-0.57837594,3.0
284.0,-0.0,3.0
38.451267,-0.22290023,3.0
19.623009,-0.59506965,3.0
75.45197,-0.96441346,3.0
83.470055,-0.38050637,3.0
1.6923077,1.5707964,3.0
32.89377,1.2298174,3.0
43.0,-0.0,3.0
21.5,0.0,3.0
43.477005,-0.5305579,3.0
34.44198,0.69287956,3.0
25.358677,-0.16839015,3.0
8.5,1.5707964,3.0
27.82984,0.3103874,3.0
53.009434,-0.6246354,3.0
7.730262,0.7320138,3.0
35.35534,-1.0691923,3.0
1.2068965,-0.0,3.0
17.5,0.0,3.0
4.7337914,-0.35144478,3.0
262.33804,-0.1184449,3.0
1.030303,0.0,3.0
801.2091,-0.054944642,3.0
233.91475,-0.08846662,3.0
35.598454,-1.0568767,3.0
93.62158,-0.2372068,3.0
111.331154,-0.038183678,3.0
22.0,1.5707964,3.0
230.15701,-0.03693971,3.0
34.5,-0.0,3.0
18.862993,-0.96441346,3.0
31.0,1.5707964,3.0
32.729958,-1.2442149,3.0
20.719858,-0.845156,3.0
126.286385,-0.06735826,3.0
35.598454,1.0568767,3.0
39.427147,-0.21729343,3.0
17.0,0.0,3.0
6.285714,1.5707964,3.0
37.12142,-0.47569522,3.0
16.0,-0.0,3.0
35.11766,-1.0816765,3.0
159.0,-0.0,3.0
335.0,-0.0,3.0
52.970642,-0.1071826,3.0
66.5451,-0.12808284,3.0
16.0,0.0,3.0
40.9176,0.5676664,3.0
4.0,1.5707964,3.0
569.70166,-0.07731039,3.0
65.666664,-0.0,3.0
107.93684,-0.59314173,3.0
28.594093,-0.45113522,3.0
43.73237,-0.07782415,3.0
92.88972,-0.09163455,3.0
179.2017,-0.04745039,3.0
109.252,-0.41450688,3.0
22.0,1.5707964,3.0
11.0,1.5707964,3.0
66.5451,-0.12808284,3.0
9.956997,-0.12499932,3.0
83.470055,-0.38050637,3.0
15.5,1.5707964,3.0
14.780806,-0.5191461,3.0
39.246017,-0.59506965,3.0
19.869715,-0.14308329,3.0
59.609142,-0.14308329,3.0
272.80807,-0.63580334,3.0
2.3157895,1.5707964,3.0
10.2294,0.5676664,3.0
289.2542,-0.51314276,3.0
156.79306,-0.54288054,3.0
2.6724994,-0.328711,3.0
17.669811,0.6246354,3.0
23.732304,1.0568767,3.0
22.0,1.5707964,3.0
86.85172,-0.06529168,4.0
4.3858356,1.2298174,4.0
15.607429,-0.41450688,4.0
33.62135,-0.102628194,4.0
12.679338,-0.16839015,4.0
5.130435,-0.0,4.0
1.6538461,0.0,4.0
8.721382,-1.0943289,4.0
4.4194174,1.0691923,4.0
2.8666666,0.0,4.0
9.840566,0.69287956,4.0
2.125,1.5707964,4.0
2.9949548,0.69287956,4.0
79.5,-0.0,4.0
8.610495,0.69287956,4.0
6.149187,-1.1071488,4.0
1.5454545,1.5707964,4.0
125.444214,-0.17628846,1.0
12.575329,-0.96441346,1.0
37.725986,0.96441346,1.0
184.78366,-0.09212975,1.0
61.59455,-0.09212975,1.0
8.6,0.0,1.0
25.150658,-0.96441346,1.0
126.286385,-0.06735826,1.0
23.119257,-0.37649032,1.0
125.93649,-0.35691193,1.0
22.051077,-1.5027199,1.0
67.18631,-0.25580856,1.0
31.0,1.5707964,1.0
78.492035,-0.59506965,1.0
78.492035,-0.59506965,1.0
54.66546,-0.07782415,1.0
26.164013,-0.59506965,1.0
49.235264,-0.302481,1.0
52.801514,-0.42976227,1.0
20.666666,1.5707964,1.0
109.33092,-0.07782415,1.0
61.522354,-0.7968919,1.0
21.5,0.0,1.0
49.193497,-1.1071488,1.0
276.52304,-0.061516486,1.0
31.237406,-0.07782415,1.0
75.5,0.0,1.0
218.66183,-0.07782415,1.0
97.082436,-0.3250079,1.0
17.104616,-0.11065722,1.0
310.4658,-0.054783836,1.0
106.01887,-0.6246354,1.0
39.246017,-0.59506965,1.0
6.9649267,1.1254953,1.0
460.31403,-0.03693971,1.0
100.44899,-0.17005862,1.0
34.0,0.0,1.0
39.427147,-0.21729343,1.0
4.6852307,0.89883316,1.0
20.719858,-0.845156,1.0
197.73215,-0.08608116,1.0
76.473854,-0.11137924,1.0
14.055693,0.89883316,1.0
22.0,1.5707964,1.0
35.0,0.0,1.0
17.5,-0.0,1.0
11.666667,0.0,1.0
8.5,0.0,1.0
260.55518,-0.06529168,1.0
38.873013,-0.38687572,1.0
78.64,-0.28353977,1.0
27.802877,0.6578886,1.0
5.6666665,1.5707964,1.0
25.150658,-0.96441346,1.0
10.75,0.0,1.0
260.55518,-0.06529168,1.0
260.55518,-0.06529168,1.0
55.0,0.9272952,1.0
19.295765,-0.47689188,1.0
11.333333,0.0,1.0
69.0,-0.0,1.0
65.459915,-1.2442149,1.0
31.0,1.5707964,1.0
20.989416,-0.35691193,1.0
8.1989155,-1.1071488,1.0
20.089798,-0.17005862,1.0
119.218285,-0.14308329,1.0
20.666666,1.5707964,1.0
101.43471,-0.16839015,1.0
25.150658,0.96441346,1.0
17.67767,1.0691923,1.0
28.111385,0.89883316,1.0
25.112247,-0.17005862,1.0
8.5,0.0,1.0
19.623009,-0.59506965,1.0
24.596748,-1.1071488,1.0
9.661557,-0.5305579,1.0
67.537025,-0.12619154,1.0
17.5,0.0,1.0
38.5,0.0,1.0
13.157507,1.2298174,1.0
72.88728,-0.07782415,1.0
17.67767,1.0691923,1.0
78.492035,-0.59506965,1.0
37.725986,0.96441346,1.0
9.598044,-0.25580856,1.0
57.142365,-0.2746939,1.0
11.666667,0.0,1.0
23.570227,-1.0691923,1.0
17.0,0.0,1.0
13.901439,-0.6578886,1.0
78.64,-0.28353977,1.0
101.43471,-0.16839015,1.0
79.60056,-0.28002527,1.0
185.6583,-0.34048772,1.0
233.61935,-0.072832316,1.0
45.642635,-0.74665785,1.0
105.60303,-0.42976227,1.0
41.978832,-0.35691193,1.0
175.82378,-0.096839,1.0
44.0,1.5707964,1.0
54.66546,-0.07782415,1.0
44.102154,-1.5027199,1.0
113.32255,-0.27708754,1.0
293.49277,-0.057955503,1.0
32.20076,0.4729066,1.0
126.1507,-0.1351707,1.0
19.320456,0.4729066,1.0
276.52304,-0.061516486,1.0
87.91189,-0.096839,1.0
76.902534,-0.22290023,1.0
9.0,0.0,1.0
69.2323,-0.08194171,1.0
22.0,1.5707964,1.0
13.992944,-0.35691193,1.0
9.838699,-1.1071488,1.0
5.465944,-1.1071488,1.0
43.477005,-0.5305579,1.0
41.978832,-0.35691193,1.0
10.75,0.0,1.0
66.5451,-0.12808284,1.0
1.05,-0.0,1.0
9.932,-0.41450688,1.0
248.74184,-0.3853589,1.0
34.44198,0.69287956,1.0
34.88553,1.0943289,5.0
34.88553,1.0943289,5.0
22.0,1.5707964,5.0
17.442764,1.0943289,5.0
318.0,-0.0,5.0
150.56,-0.028231699,5.0
18.56071,-0.47569522,5.0
31.0,1.5707964,5.0
27.322153,-0.6032299,5.0
16.796577,-0.25580856,5.0
16.0,0.0,5.0
529.6574,-0.65822816,5.0
66.64833,0.4837791,5.0
247.58434,-0.06871754,5.0
50.717354,-0.16839015,5.0
32.729958,-1.2442149,5.0
12.4,1.5707964,5.0
335.0,-0.0,5.0
11.131936,-0.3103874,5.0
21.819971,-1.2442149,5.0
22.0,1.5707964,5.0
394.0,-0.0,5.0
52.746773,0.28177187,5.0
284.85083,-0.07731039,5.0
394.0,-0.0,5.0
16.446884,1.2298174,5.0
10.5,0.0,5.0
16.0,0.0,5.0
33.324165,0.4837791,5.0
15.5,1.5707964,5.0
50.717354,-0.16839015,5.0
59.0,-0.0,5.0
65.05766,-0.13102792,5.0
32.729958,-1.2442149,5.0
32.729958,-1.2442149,5.0
34.5,-0.0,5.0
252.57277,-0.06735826,5.0
76.0,0.0,5.0
50.717354,-0.16839015,5.0
722.6645,-0.08589921,5.0
22.96132,0.69287956,5.0
17.038559,-0.25209597,5.0
76.0,-0.0,5.0
64.199394,-0.17219082,5.0
64.00781,0.5055811,5.0
66.64833,0.4837791,5.0
69.77106,1.0943289,5.0
284.85083,-0.07731039,5.0
0.5,1.5707964,5.0
17.5,0.0,5.0
284.12717,-0.029920645,5.0
58.30952,-0.38687572,5.0
75.0,0.0,5.0
37.725986,-0.96441346,5.0
53.009434,0.6246354,5.0
62.0,1.5707964,5.0
24.377243,1.1254953,5.0
27.332443,-0.15612637,5.0
11.0,0.0,5.0
17.442764,1.0943289,5.0
76.0,-0.0,5.0
17.669811,-0.6246354,5.0
75.45197,-0.96441346,5.0
20.666666,1.5707964,5.0
98.85848,0.6779005,5.0
284.85083,-0.07731039,5.0
46.75,-0.0,5.0
24.596748,-1.1071488,5.0
107.2661,-0.05129685,5.0
51.53846,-0.0,5.0
109.33092,-0.07782415,5.0
327.24036,-0.067279615,5.0
14.666667,1.5707964,5.0
54.168716,0.41822433,5.0
11.0,-0.0,5.0
37.5,0.0,5.0
30.761177,-0.7968919,5.0
8.2964115,-0.3172663,5.0
16.0,0.0,5.0
23.257017,1.0943289,5.0
187.0,-0.0,5.0
155.0,0.0,5.0
4.571429,0.0,5.0
569.70166,-0.07731039,5.0
445.08118,-0.019098802,5.0
821.17596,-0.020703496,5.0
361.5,-0.0,5.0
33.5,-0.0,5.0
854.0,-0.0,5.0
31.0,1.5707964,5.0
277.28143,-0.47171196,5.0
290.62173,-0.38817397,5.0
8.1989155,-1.1071488,5.0
112.0,-0.0,5.0
251.9623,-0.08742598,5.0
301.0,-0.0,5.0
3.1023464,-0.072472386,2.0
7.1356397,-0.59506965,2.0
11.121151,0.9129077,2.0
44.913807,0.7617805,2.0
66.64833,0.4837791,2.0
361.5,-0.0,2.0
35.598454,1.0568767,2.0
30.761177,-0.7968919,2.0
9.166667,-0.9272952,2.0
32.729958,-1.2442149,2.0
17.0,-0.0,2.0
27.802877,0.9129077,2.0
22.0,1.5707964,2.0
22.1817,-0.12808284,2.0
35.35534,1.0691923,2.0
31.0,1.5707964,2.0
251.14389,-0.033851605,2.0
18.862993,0.96441346,2.0
14.333333,-0.0,2.0
21.5,0.0,2.0
11.0,1.5707964,2.0
17.0,0.0,2.0
101.43471,-0.16839015,2.0
251.97818,-0.6982952,2.0
187.0,-0.0,2.0
34.5,0.0,2.0
34.5,-0.0,2.0
17.5,0.0,2.0
40.11096,-0.37433362,2.0
111.666664,-0.0,2.0
25.150658,0.96441346,2.0
123.79217,-0.06871754,2.0
34.44198,0.69287956,2.0
43.477005,0.5305579,2.0
59.0,-0.0,2.0
44.913807,-0.7617805,2.0
289.2542,-0.51314276,2.0
59.0,0.0,2.0
16.796577,-0.25580856,2.0
27.202942,-0.94200003,2.0
1.145679,-0.0,2.0
65.05766,-0.13102792,2.0
22.0,1.5707964,2.0
49.193497,-1.1071488,2.0
37.5,0.0,2.0
37.5,-0.0,2.0
67.53518,-0.47689188,2.0
17.5,-0.0,2.0
16.364979,-1.2442149,2.0
65.459915,-1.2442149,2.0
39.333332,0.0,2.0
25.0,-0.0,2.0
34.44198,0.69287956,2.0
32.835026,0.32014543,2.0
22.0,1.5707964,2.0
687.4096,-0.0640522,2.0
140.75688,-0.060424574,2.0
33.81157,-0.16839015,2.0
48.654392,0.69079095,2.0
52.746773,0.28177187,2.0
16.0,-0.0,2.0
394.0,-0.0,2.0
171.62576,-0.05129685,2.0
31.625,-0.0,2.0
34.44198,0.69287956,2.0
21.714285,-0.0,2.0
34.88553,1.0943289,2.0
11.121151,0.9129077,2.0
15.5,1.5707964,2.0
34.88553,1.0943289,2.0
34.44198,0.69287956,2.0
36.44364,-0.07782415,2.0
61.522354,-0.7968919,2.0
44.34242,-0.5191461,2.0
28.98467,0.5305579,2.0
25.0,-0.0,2.0
123.79217,-0.06871754,2.0
22.0,1.5707964,2.0
158.22847,-0.053745657,2.0
568.0,-0.0,2.0
75.0,-0.0,2.0
27.332443,-0.15612637,2.0
93.83792,-0.060424574,2.0
239.6101,-0.6343194,2.0
17.669811,-0.6246354,2.0
37.725986,0.96441346,3.0
21.5,-0.0,3.0
37.725986,0.96441346,3.0
29.804571,-0.14308329,3.0
37.725986,0.96441346,3.0
21.5,-0.0,3.0
43.0,0.0,3.0
13.901439,-0.6578886,3.0
24.596748,-1.1071488,3.0
10.333333,1.5707964,3.0
71.21271,-0.07731039,3.0
48.30114,-0.4729066,3.0
207.0,-0.0,3.0
723.0,-0.0,3.0
167.5,-0.0,3.0
411.0,-0.0,3.0
344.5,-0.0,3.0
301.12,-0.028231699,3.0
66.64833,0.4837791,3.0
31.0,1.5707964,3.0
7.4242845,-0.47569522,3.0
58.607925,-0.096839,3.0
50.6,-0.0,3.0
18.56071,-0.47569522,3.0
31.0,1.5707964,3.0
16.796577,-0.25580856,3.0
7.3333335,1.5707964,3.0
2.72784,0.5676664,3.0
17.25,-0.0,3.0
22.0,1.5707964,3.0
14.055693,-0.89883316,3.0
11.0,1.5707964,3.0
17.5,-0.0,3.0
39.246017,-0.59506965,3.0
33.81157,-0.16839015,3.0
302.59213,-0.102628194,3.0
602.24,-0.028231699,3.0
153.28568,-0.1012915,3.0
284.85083,-0.07731039,3.0
69.77106,1.0943289,3.0
68.88396,0.69287956,3.0
68.88396,0.69287956,3.0
37.12142,-0.47569522,3.0
27.802877,-0.6578886,3.0
8.223442,1.2298174,3.0
16.364979,-1.2442149,3.0
8.6,0.0,3.0
32.729958,-1.2442149,3.0
15.5,1.5707964,3.0
15.698407,-0.59506965,3.0
17.22099,0.69287956,3.0
11.121151,0.9129077,3.0
13.509256,0.68052125,3.0
34.44198,0.69287956,3.0
59.0,-0.0,3.0
59.0,0.0,3.0
38.485386,-0.11065722,3.0
32.5,-0.0,3.0
214.83456,-0.068322726,3.0
25.117682,-0.096839,3.0
34.44198,0.69287956,3.0
37.725986,0.96441346,3.0
39.246017,-0.59506965,3.0
26.164013,-0.59506965,3.0
239.6101,-0.6343194,3.0
335.0,-0.0,3.0
151.29607,-0.102628194,3.0
63.300186,-0.07731039,3.0
16.905785,-0.16839015,3.0
122.760185,-0.46455836,3.0
189.90056,-0.07731039,3.0
4.0912447,-1.2442149,4.0
83.930405,-0.06557748,4.0
15.61854,-0.15612637,4.0
2.75,0.0,4.0
6.625,0.0,4.0
5.0,-0.0,4.0
24.270609,-0.3250079,4.0
71.0,-0.0,4.0
14.490672,-0.16839015,4.0
91.353134,-0.05354196,4.0
