Total angle changed vs. Average speed from (100, 302) to (330, 323)
Average speed (points/sec)
Total angle changed (radians)
0.0,0.2406531,5.0
16.125,0.2624594,5.0
11.0,1.9350058,5.0
3.0,0.4837791,5.0
0.0,0.0,5.0
0.0,0.0,5.0
39.26445,0.2896331,5.0
10.666667,0.26625204,5.0
0.0,0.18164884,5.0
4.02134,1.6667573,5.0
13.945967,0.14690433,5.0
12.238373,1.024779,5.0
16.5,0.09596104,5.0
25.42878,0.92881787,5.0
0.0,0.0,5.0
71.766624,0.0,5.0
16.142857,6.0447326,5.0
8.768825,2.4569056,5.0
60.772114,0.3643313,5.0
27.608875,1.429544,5.0
0.0,0.0,5.0
28.504385,0.90975314,5.0
13.646887,0.0,5.0
0.0,0.6570749,5.0
17.834166,2.416844,5.0
250.16045,0.59670734,5.0
6.0,1.5707964,5.0
0.0,0.5191461,5.0
0.0,0.69079095,5.0
35.00319,1.2310973,5.0
14.804051,3.5844865,5.0
28.504385,0.14712349,5.0
18.177309,2.0234723,5.0
0.0,0.063173115,5.0
5.909091,0.18534794,5.0
49.5,0.77921927,5.0
7.5179787,1.684423,5.0
0.0,0.060782574,5.0
0.0,0.0,5.0
26.5,0.43838403,5.0
13.829317,1.5919248,5.0
57.870544,0.63257223,5.0
0.0,0.0,5.0
11.0,0.96441346,5.0
0.0,1.5707964,5.0
0.0,0.11133888,5.0
0.0,0.0,5.0
8.781216,0.93804747,5.0
0.0,1.2665879,5.0
0.0,0.0,5.0
31.468239,0.79663366,5.0
23.599388,2.2760618,5.0
0.0,0.38867104,5.0
26.352314,0.6055447,5.0
220.03737,0.047499456,5.0
20.115564,1.2526476,5.0
8.982746,3.1447473,5.0
28.504385,0.0,5.0
0.0,0.19323888,5.0
16.680326,0.7836376,5.0
0.0,0.30405062,5.0
281.74457,0.047499456,5.0
21.91738,2.4939635,5.0
27.608875,1.5772876,5.0
0.0,0.47501075,5.0
0.0,0.4837791,5.0
0.0,0.8634998,5.0
0.0,0.31399876,5.0
0.0,0.0062922277,5.0
28.504385,0.0,5.0
33.79685,0.38204485,5.0
12.790273,4.210785,5.0
0.0,0.097726904,5.0
0.0,0.26371184,5.0
26.5,1.1071488,5.0
0.0,1.2298174,5.0
23.025728,1.3337466,5.0
0.0,0.009952678,5.0
0.0,0.5164783,5.0
0.0,0.49934673,5.0
0.0,0.9272952,5.0
98.65597,1.9377563,5.0
0.0,1.1320857,5.0
37.529995,0.6055447,5.0
0.0,0.11133888,5.0
251.55714,0.5902077,5.0
27.35807,0.0,5.0
67.44627,1.4352686,5.0
0.0,3.1415927,5.0
21.91738,1.4277276,5.0
0.0,1.0943289,5.0
0.0,1.3045443,5.0
0.0,0.06369504,5.0
0.0,0.07429279,5.0
38.562828,1.2626196,5.0
312.98282,0.3290096,5.0
0.0,0.88242376,5.0
30.2,1.727994,5.0
0.0,0.0,5.0
16.5,0.56964374,5.0
10.560667,2.5699499,5.0
11.884864,1.5691026,5.0
0.0,1.2879492,5.0
97.62812,0.86177194,5.0
23.585014,5.399161,5.0
0.0,0.0,5.0
0.0,0.0,5.0
8.293627,0.42389584,5.0
10.924706,1.3592045,5.0
0.0,0.0,5.0
27.5,1.2442149,5.0
10.8,0.2624594,5.0
0.0,0.23688732,5.0
0.0,0.0,5.0
10.573156,2.147236,5.0
0.0,2.0059955,5.0
13.727273,0.6246354,5.0
0.0,0.07073525,5.0
0.0,0.49193847,5.0
43.931767,0.21273178,5.0
39.52847,0.12176555,5.0
0.0,1.2442149,5.0
0.0,0.47501075,5.0
0.0,1.0468193,5.0
4.609772,1.8884188,5.0
0.0,0.009952678,5.0
13.897473,4.5829396,5.0
0.0,2.4740322,5.0
11.17005,2.201912,5.0
44.964184,1.9669484,5.0
16.574564,0.60249436,5.0
9.265659,0.49420577,5.0
39.52847,0.6055447,5.0
14.21267,1.2379299,5.0
0.0,1.2442149,5.0
0.0,0.3990589,5.0
24.094822,0.8686846,5.0
20.603628,1.1308953,5.0
0.0,0.0,5.0
0.0,0.49193847,5.0
49.958286,0.16207132,5.0
12.231375,2.0026474,5.0
0.0,0.3622131,5.0
7.4,0.11133888,5.0
0.0,0.021584906,5.0
0.0,0.107597396,5.0
22.183008,0.026575388,5.0
812.2475,0.055430215,5.0
3.0463235,0.6055447,2.0
0.0,0.24435568,2.0
22.247679,0.23255694,2.0
80.700066,0.28255495,2.0
22.94817,0.75756574,2.0
0.0,0.0,2.0
0.0,0.14301687,2.0
0.0,0.0,2.0
0.0,0.5182074,2.0
262.16376,0.021490555,2.0
283.91724,0.28124076,2.0
378.6172,1.1931833,2.0
0.0,0.5164783,2.0
0.0,0.00416168,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.6246354,2.0
0.0,0.09445494,2.0
0.0,0.0,2.0
120.0,0.0,2.0
0.0,0.08163634,2.0
32.5,0.2624594,2.0
0.0,0.0,2.0
65.0,0.2624594,2.0
0.0,0.49934673,2.0
13.0,0.109983824,2.0
0.0,0.0,2.0
16.5,0.7655988,2.0
19.735035,0.1295363,2.0
0.0,0.42201766,2.0
0.0,0.09596104,2.0
11.849056,1.4575663,2.0
0.0,0.13863973,2.0
3.5333333,0.13927926,2.0
0.0,0.2624594,2.0
0.0,0.0,2.0
22.84596,0.22617795,2.0
0.0,0.0,2.0
11.371787,1.2806518,2.0
78.78134,0.0,2.0
78.78134,0.0,2.0
49.21025,0.19367205,2.0
0.0,0.13109544,2.0
173.9612,0.0,2.0
5.5,0.35967287,2.0
0.0,0.44180477,2.0
0.0,0.26625204,2.0
0.0,0.18534794,2.0
0.0,0.44180477,2.0
0.0,0.0,2.0
0.05318491,0.14871114,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.58976847,2.0
39.52847,0.6055447,2.0
5.188175,0.45867005,2.0
11.241046,0.45867005,2.0
0.0,0.0,2.0
8.40178,0.6388869,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
230.85168,0.48957354,2.0
157.56268,0.15565787,2.0
18.80801,1.2028718,2.0
0.0,0.47501075,2.0
11.0,0.6774397,2.0
36.078407,0.6571847,2.0
18.916466,0.28255495,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
74.39904,0.2896331,2.0
3.6666667,0.6857295,2.0
250.16045,0.6068449,2.0
17.453056,0.6068449,2.0
227.26416,0.6508121,2.0
9.635182,0.7727748,2.0
0.0,0.0,2.0
0.0,0.18534794,2.0
0.0,0.0,2.0
227.26416,0.5562672,2.0
0.0,0.65073425,2.0
0.0,0.9633447,2.0
0.0,0.07295997,2.0
1.9323747,0.88925123,2.0
33.0,1.0700804,2.0
61.687405,0.73007876,2.0
0.0,0.47900692,2.0
0.0,0.088256575,2.0
2.625,0.11710875,2.0
17.06168,0.41264778,2.0
13.607942,0.9119945,2.0
0.0,0.0,2.0
0.0,0.09454487,2.0
36.916447,1.2419968,2.0
227.26416,1.2419968,2.0
0.0,0.38867104,2.0
0.0,0.0,2.0
0.0,0.02546051,2.0
11.241046,0.6273757,2.0
0.0,0.2624594,2.0
0.0,0.18164884,2.0
0.0,0.0,2.0
16.861568,1.0396531,2.0
0.0,0.0,2.0
6.840392,0.45867005,2.0
0.0,0.18164884,2.0
32.5,0.18164884,2.0
0.0,0.2715996,2.0
17.666666,0.21675068,2.0
7.0214696,0.14301817,2.0
5.5,0.3042085,2.0
0.0,0.09189997,2.0
3.6666667,0.3277509,2.0
6.285714,0.86755174,2.0
0.0,0.08817736,2.0
0.0,0.19075187,2.0
0.0,0.50080496,2.0
15.855644,0.19935529,2.0
0.0,0.0,2.0
250.16045,0.674976,2.0
0.0,1.2138844,2.0
0.0,0.1746722,2.0
0.0,0.16695777,2.0
14.904023,1.3793781,2.0
32.5,0.18534794,2.0
0.0,0.18534794,2.0
0.0,0.0,2.0
13.0,0.11133888,2.0
0.0,0.0,2.0
18.333334,0.109983824,2.0
0.0,0.0,2.0
241.33482,0.45386246,2.0
0.0,0.0,2.0
0.0,0.29955307,2.0
0.0,0.0,2.0
0.0,0.0,2.0
39.29333,0.0,2.0
0.0,0.25105292,2.0
0.0,0.0,2.0
0.0,0.09858052,2.0
0.0,0.3622131,2.0
0.0,0.6246354,2.0
0.0,1.8129427,2.0
11.737375,3.3547115,2.0
0.0,0.15012248,2.0
0.0,0.49934673,2.0
0.0,0.49934673,2.0
11.574109,1.5707964,2.0
17.942225,1.0806128,2.0
9.397473,0.73244137,2.0
111.29803,0.56407195,2.0
0.0,0.08589921,2.0
