Time still vs. Time spent from (560, 302) to (790, 323)
Time spent (sec)
Time still (sec)
1.8370373,0.0,2.0
7.8415947,0.0,2.0
7.6947827,0.0,2.0
1.255814,0.0,2.0
1.8837209,0.0,2.0
18.248894,9.0,2.0
4.3102303,2.0,2.0
5.3102303,3.0,2.0
3.7230768,0.0,2.0
6.940265,0.0,2.0
4.3441467,2.0,2.0
2.7008893,0.0,2.0
0.0,0.0,2.0
2.5306122,0.0,2.0
5.756757,3.0,2.0
1.2952381,1.0,2.0
0.2952381,0.0,2.0
2.5306122,0.0,2.0
2.459259,0.0,2.0
20.098764,13.0,2.0
10.074019,0.0,2.0
2.0249984,0.0,2.0
2.3441465,0.0,2.0
2.2053404,0.0,2.0
9.493824,6.0,2.0
2.4320316,0.0,2.0
3.1887882,0.0,2.0
2.930386,0.0,2.0
5.286822,2.0,2.0
1.255814,0.0,2.0
0.8740281,0.0,2.0
2.3102303,0.0,2.0
3.6752748,2.0,2.0
25.757528,10.0,2.0
5.19753,2.0,2.0
8.51178,6.0,2.0
1.6108668,0.0,2.0
14.148462,2.0,2.0
0.0,0.0,2.0
9.562082,0.0,2.0
6.19753,2.0,2.0
2626.6763,0.0,2.0
1.7700661,0.0,2.0
12.864196,2.0,2.0
5.3187413,2.0,2.0
0.39249852,0.0,2.0
3.5135136,2.0,2.0
1.138022,0.0,2.0
1.3956708,0.0,2.0
3.043356,0.0,2.0
16.181818,3.0,2.0
3.492162,0.0,2.0
4.9758434,3.0,2.0
4.700889,2.0,2.0
2.6666658,2.0,2.0
4.3441467,2.0,2.0
1.1581769,0.0,2.0
0.8097244,0.0,2.0
2.8954422,0.0,2.0
5.432099,2.0,2.0
4.597015,0.0,2.0
3.7567568,0.0,2.0
6.478112,2.0,2.0
8.292308,2.0,2.0
5.6429234,0.0,2.0
2.3102303,0.0,2.0
6.918518,0.0,2.0
2.2962947,2.0,2.0
1.4982381,0.0,2.0
8.333332,7.0,2.0
4.534553,0.0,2.0
3.123859,0.0,2.0
5.1160483,2.0,2.0
9.116048,3.0,2.0
13.39506,9.0,2.0
0.49382433,0.0,2.0
0.39505947,0.0,2.0
6.2962947,6.0,2.0
11.39506,2.0,2.0
0.5925892,0.0,2.0
6.3187413,6.0,2.0
8.864196,2.0,2.0
2.4320316,0.0,2.0
1.8791071,0.0,2.0
6.157078,0.0,2.0
10.506666,5.0,2.0
5.585184,4.0,2.0
