Time still vs. Time spent from (330, 302) to (560, 323)
Time spent (sec)
Time still (sec)
9.121211,6.0,5.0
2.4501405,2.0,5.0
0.19752976,0.0,5.0
4.5152307,2.0,5.0
2.242422,2.0,5.0
2.6666663,0.0,5.0
0.5539653,0.0,5.0
1.0634063,0.0,5.0
0.30302915,0.0,5.0
0.121211424,0.0,5.0
3.0,0.0,5.0
27.536665,0.0,5.0
2.4961817,0.0,5.0
2.1593704,2.0,5.0
3.2581353,2.0,5.0
0.098764814,0.0,5.0
0.15937126,0.0,5.0
1.3777771,0.0,5.0
2.3564355,2.0,5.0
7.942675,5.0,5.0
12.333333,6.0,5.0
1.1593707,1.0,5.0
1.3420081,1.0,5.0
0.5346533,0.0,5.0
0.80467063,0.0,5.0
5.542863,0.0,5.0
29.822803,0.0,5.0
0.95560056,0.0,5.0
1.0942525,0.0,5.0
5.175886,5.0,5.0
