Speed angle vs. Modulus speed from (100, 343) to (330, 364)
Modulus speed (points/sec)
Speed angle (radians)
0.0,-0.6246354,1.0
0.0,-0.6246354,1.0
0.0,-0.6246354,1.0
100.44899,-0.17005862,1.0
34.0,0.0,1.0
119.218285,-0.14308329,1.0
26.5,-0.0,1.0
5.5,-0.0,1.0
39.427147,-0.21729343,1.0
0.0,-0.21729343,1.0
0.0,-0.21729343,1.0
0.0,-0.21729343,1.0
0.0,-0.0,1.0
0.0,-0.0,1.0
0.0,-0.0,1.0
0.0,0.59374964,1.0
75.0,0.0,1.0
0.0,0.89883316,1.0
100.44899,-0.17005862,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
17.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,-0.0,1.0
0.0,1.5707964,1.0
0.0,-0.0,1.0
0.0,-0.0,1.0
0.0,-0.0,1.0
0.0,-0.0,1.0
0.0,-0.0,1.0
11.0,-0.0,1.0
27.802877,0.6578886,1.0
17.0,-1.5707964,1.0
5.6666665,1.5707964,1.0
22.0,-0.0,1.0
7.3333335,-0.0,1.0
0.0,-0.96441346,1.0
14.333333,0.0,1.0
0.0,-0.06529168,1.0
0.0,-0.06529168,1.0
0.0,-0.06529168,1.0
0.0,0.28783143,1.0
0.0,0.28783143,1.0
0.0,0.28783143,1.0
0.0,0.28783143,1.0
0.0,0.28783143,1.0
0.0,0.28783143,1.0
0.0,-0.47689188,1.0
17.0,0.0,1.0
0.0,-1.2442149,1.0
0.0,-0.35691193,1.0
38.451267,-0.22290023,1.0
0.0,-0.47116625,1.0
0.0,-0.47116625,1.0
0.0,-0.47116625,1.0
0.0,-0.47116625,1.0
0.0,-0.47116625,1.0
0.0,-0.0,1.0
33.482998,-0.17005862,1.0
50.224495,-0.17005862,1.0
0.0,-0.17005862,1.0
119.218285,-0.14308329,1.0
0.0,-0.14308329,1.0
0.0,0.96441346,1.0
46.238514,0.37649032,1.0
0.0,0.37649032,1.0
0.0,0.37649032,1.0
23.119257,-0.37649032,1.0
0.0,-0.37649032,1.0
0.0,0.89883316,1.0
25.112247,-0.17005862,1.0
0.0,-0.17005862,1.0
17.0,0.0,1.0
0.0,0.0,1.0
0.0,-0.59506965,1.0
0.0,-0.0,1.0
1.5714285,0.0,1.0
38.5,0.0,1.0
