 PhoneID;DistToCluster1; DistToCluster2; DistToCluster3; Characteristics
ZX1B23QBS53771758c578bbd85;0.008802412;0.011299679;0.011632641;1
ZX1B23QBS53771758c578bbd85;0.006643521;0.010431573;0.011079056;1
ZX1B23QBS53771758c578bbd85;0.002557269;0.004996924;0.005739742;1
ZX1B23QBS53771758c578bbd85;0.005905336;0.012985204;0.011388483;1
ZX1B23QBS53771758c578bbd85;0.010750398;0.015842088;0.015482565;1
ZX1B23QBS53771758c578bbd85;0.444409407;0.444352968;0.442477352;3
ZX1B23QBS53771758c578bbd85;0.006540471;0.010512679;0.010752262;1
ZX1B23QBS53771758c578bbd85;0.005820765;0.010764001;0.010213282;1
ZX1B23QBS53771758c578bbd85;0.009288992;0.012952574;0.01338111;1
ZX1B23QBS53771758c578bbd85;0.009226751;0.012837211;0.012862282;1
ZX1B23QBS53771758c578bbd85;0.011036532;0.015298604;0.015785225;1
ZX1B23QBS53771758c578bbd85;0.007860676;0.012175389;0.012184208;1
ZX1B23QBS53771758c578bbd85;0.010611191;0.013831915;0.013753701;1
ZX1B23QBS53771758c578bbd85;0.013274528;0.018085028;0.016667449;1
ZX1B23QBS53771758c578bbd85;0.009162937;0.012519097;0.013640816;1
ZX1B23QBS53771758c578bbd85;0.006035884;0.00941026;0.010678682;1
ZX1B23QBS53771758c578bbd85;0.02175103;0.026201121;0.026020448;1
ZX1B23QBS53771758c578bbd85;0.01321674;0.017359293;0.017437065;1
ZX1B23QBS53771758c578bbd85;0.006227118;0.010380086;0.009974568;1
ZX1B23QBS53771758c578bbd85;0.003596787;0.006508369;0.006965211;1
ZX1B23QBS53771758c578bbd85;0.007205336;0.010173988;0.01118862;1
ZX1B23QBS53771758c578bbd85;0.003513381;0.00678445;0.007341165;1
ZX1B23QBS53771758c578bbd85;0.009645851;0.011299061;0.012895941;1
ZX1B23QBS53771758c578bbd85;0.006523866;0.009813039;0.009484069;1
ZX1B23QBS53771758c578bbd85;0.002984033;0.005242903;0.005921235;1
ZX1B23QBS53771758c578bbd85;0.01779226;0.019580832;0.020931254;1
