Time disappeared vs. Time spent from (100, 302) to (330, 323)
Time spent (sec)
Time disappeared (sec)
6.0,0.0,3.0
16.0,0.0,3.0
0.0,0.0,3.0
2.225,0.0,3.0
0.20454548,0.0,3.0
4.1285715,0.0,3.0
0.0,0.0,3.0
8.918518,0.0,3.0
23.0,0.0,3.0
0.2561434,0.0,3.0
4.7930713,0.0,3.0
0.0,0.0,3.0
2.0,0.0,3.0
8.0,0.0,3.0
7.9185185,0.0,3.0
4.0,0.0,3.0
9.0,0.0,3.0
32.0,32.0,3.0
11.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
2.0,0.0,3.0
0.15000005,0.0,3.0
0.8034959,0.0,3.0
26.0,0.0,4.0
10.0,0.0,4.0
1.3777777,0.0,4.0
22.0,0.0,4.0
0.0,0.0,4.0
0.0,0.0,4.0
47.0,15.0,4.0
0.0,0.0,4.0
10.674077,0.0,4.0
5.5111136,0.0,4.0
35.88889,15.0,4.0
16.881117,0.0,4.0
0.0,0.0,4.0
0.0,0.0,4.0
26.0,0.0,4.0
0.0,0.0,4.0
4.4592595,0.0,1.0
0.0,0.0,1.0
1.0,0.0,1.0
5.4592595,0.0,1.0
4.459259,0.0,1.0
0.0,0.0,1.0
2.459259,0.0,1.0
1.0,0.0,1.0
0.0,0.0,1.0
5.4592595,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
4.0,0.0,1.0
2.0,0.0,1.0
3.0,0.0,1.0
1.0,0.0,1.0
0.0,0.0,1.0
1.0,0.0,1.0
0.0,0.0,1.0
15.0,15.0,1.0
1.0566038,0.0,1.0
0.11320755,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
1.0,0.0,1.0
0.0,0.0,1.0
2.0,0.0,1.0
1.0,0.0,1.0
0.0,0.0,1.0
3.0,0.0,1.0
8.0,0.0,1.0
2.0,0.0,1.0
20.0,0.0,1.0
3.8370368,0.0,1.0
2.0,0.0,1.0
0.0,0.0,1.0
0.25174794,0.0,1.0
0.0,0.0,1.0
1.0,0.0,1.0
17.0,11.0,1.0
7.6740756,0.0,1.0
2.0,0.0,1.0
6.0,0.0,1.0
0.0,0.0,1.0
2.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
1.0,0.0,1.0
2.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
4.0,0.0,1.0
0.0,0.0,1.0
1.0,0.0,1.0
0.0,0.0,1.0
4.0,0.0,1.0
0.0,0.0,1.0
2.1258743,0.0,1.0
4.918519,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
1.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
6.0,0.0,1.0
1.3777782,0.0,1.0
1.9185189,0.0,1.0
0.0,0.0,1.0
0.4592592,0.0,1.0
0.91851807,0.0,1.0
4.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
2.0,0.0,1.0
1.0,0.0,1.0
5.0,0.0,1.0
0.0,0.0,1.0
0.2517482,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
1.0,0.0,1.0
3.2148151,0.0,1.0
13.837038,0.0,1.0
8.459259,0.0,1.0
11.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
3.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
13.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
3.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
5.0,0.0,1.0
1.0,0.0,1.0
2.9185188,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
2.0,0.0,1.0
16.918518,0.0,1.0
4.0,0.0,1.0
0.37762192,0.0,1.0
11.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
1.0,0.0,1.0
5.0,0.0,1.0
1.4592595,0.0,1.0
2.0,0.0,1.0
0.45925915,0.0,1.0
4.0,0.0,1.0
1.0,0.0,1.0
6.0,0.0,1.0
6.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.91851896,0.0,1.0
2.2517478,0.0,1.0
5.4592595,0.0,1.0
0.0,0.0,1.0
0.2517485,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
11.0,0.0,1.0
2.0,0.0,1.0
0.0,0.0,1.0
3.918519,0.0,1.0
2.0,0.0,1.0
2.2962976,0.0,1.0
0.0,0.0,1.0
1.0,0.0,1.0
0.0,0.0,1.0
8.918519,0.0,1.0
0.45925945,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
1.0,0.0,1.0
2.3777778,0.0,1.0
0.0,0.0,1.0
3.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
2.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
2.0,0.0,1.0
0.0,0.0,1.0
0.4592595,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
2.0,0.0,1.0
1.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
3.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
2.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
1.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
1.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
13.0,0.0,1.0
0.0,0.0,1.0
8.377777,0.0,1.0
0.9185183,0.0,1.0
4.6740737,0.0,1.0
2.2962968,0.0,1.0
0.0,0.0,1.0
2.0,0.0,1.0
8.0,0.0,1.0
0.0,0.0,1.0
4.0,0.0,1.0
1.0,0.0,1.0
23.0,0.0,1.0
4.0,0.0,1.0
6.0,0.0,1.0
8.0,0.0,1.0
4.0,0.0,1.0
7.0,0.0,1.0
6.0,0.0,1.0
2.2962985,0.0,1.0
16.296297,0.0,1.0
4.0,0.0,1.0
42.0,11.0,1.0
0.0,0.0,1.0
14.251748,11.0,1.0
0.0,0.0,1.0
5.0,0.0,1.0
2.0,0.0,1.0
2.0,0.0,1.0
5.0,0.0,1.0
13.0,0.0,1.0
1.0,0.0,1.0
0.0,0.0,1.0
24.0,0.0,5.0
2.0,0.0,5.0
0.0,0.0,5.0
6.0,0.0,5.0
2.0,0.0,5.0
2.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
10.0,0.0,5.0
2.0,0.0,5.0
0.17307693,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
4.9185185,0.0,5.0
4.081481,0.0,5.0
0.0,0.0,5.0
2.9185193,0.0,5.0
5.0,0.0,5.0
0.0,0.0,5.0
2.9185193,0.0,5.0
0.0,0.0,5.0
5.0,0.0,5.0
0.0,0.0,5.0
4.0,0.0,5.0
0.0,0.0,5.0
4.4592595,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
14.127572,0.0,5.0
0.0,0.0,5.0
6.0,0.0,5.0
2.5912457,0.0,5.0
0.9185184,0.0,5.0
12.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
2.162962,0.0,5.0
0.12857145,0.0,5.0
0.22499998,0.0,5.0
6.0,0.0,5.0
4.0,0.0,5.0
0.0,0.0,5.0
5.0,0.0,5.0
2.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
6.0,0.0,5.0
2.0,0.0,5.0
22.0,0.0,5.0
6.0,0.0,5.0
2.0,0.0,5.0
2.9185193,0.0,5.0
2.9185193,0.0,5.0
12.918519,0.0,5.0
21.0,0.0,5.0
8.0,0.0,5.0
11.0,0.0,5.0
6.0,0.0,5.0
2.0,0.0,5.0
4.0,0.0,5.0
0.0,0.0,5.0
0.1730769,0.0,5.0
0.0,0.0,5.0
8.0,0.0,5.0
4.0662847,0.0,5.0
2.0,0.0,5.0
1.4592596,0.0,5.0
7.4592595,0.0,5.0
4.0,0.0,5.0
12.0,0.0,5.0
1.4592596,0.0,5.0
6.0,0.0,5.0
1.0,0.0,5.0
3.0,0.0,5.0
1.9185194,0.0,5.0
3.4592597,0.0,5.0
8.0,0.0,5.0
1.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.06428572,0.0,5.0
2.0,0.0,5.0
2.0642858,0.0,5.0
2.0,0.0,5.0
19.0,0.0,5.0
0.0,0.0,5.0
7.0,0.0,5.0
5.0,0.0,5.0
0.0,0.0,5.0
4.0,0.0,5.0
2.0,0.0,5.0
0.0,0.0,5.0
2.0,0.0,5.0
11.0,0.0,5.0
0.0,0.0,5.0
0.25174794,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
13.918519,0.0,5.0
2.296298,0.0,5.0
18.074083,0.0,5.0
0.0,0.0,5.0
