Time spent vs. Path length from (250, 300) to (425, 380)
Path length (points/sec)
Time spent (sec)
44.511402,1.5808951,5.0
193.5438,14.325274,5.0
177.39955,4.5768023,5.0
322.21017,15.757576,5.0
175.1837,10.525398,5.0
63.124195,4.094724,5.0
206.86014,8.736,5.0
219.76424,15.195652,5.0
45.108555,8.54111,5.0
194.65898,10.287696,5.0
114.0,6.1384616,5.0
202.1013,14.29518,5.0
44.209297,1.0676026,5.0
382.7032,15.782484,5.0
242.95348,17.990927,5.0
434.1834,455.8473,5.0
45.13476,4.047362,5.0
215.80011,20.790571,5.0
134.14519,11.892307,5.0
336.50867,26.251024,5.0
704.3767,109.51782,5.0
269.13934,10.396029,5.0
192.65372,13.507692,5.0
183.75688,13.660763,5.0
158.12624,28.5,5.0
251.29277,14.816317,5.0
575.0308,48.347828,5.0
179.6233,3.908067,5.0
580.2792,18.428635,5.0
47.710655,0.926517,5.0
125.40426,9.875862,5.0
64.900154,2.023681,5.0
201.79836,7.2844386,5.0
55.072678,1.5,5.0
116.68899,2.7538462,5.0
48.0,3.0,5.0
184.6233,1.8422804,5.0
179.86652,1.8209231,5.0
114.0,2.7538462,5.0
267.4441,14.626924,5.0
138.65372,1.7538463,5.0
119.37614,2.8055556,5.0
180.0,2.7551022,5.0
458.50983,8.50862,5.0
70.059,4.034483,5.0
47.199253,3.232681,5.0
51.09257,1.7154399,5.0
179.47076,5.637931,5.0
55.072678,1.5,5.0
326.64722,28.757692,5.0
345.24124,15.102287,5.0
623.67676,835.3446,5.0
183.01105,6.428571,5.0
250.25607,15.271088,5.0
127.83863,159.60268,5.0
177.58788,12.8152075,5.0
347.6552,120.29602,5.0
453.5522,161.19576,5.0
478.51093,37.805035,5.0
44.0256,1.1782035,5.0
266.06992,13.244745,5.0
55.13881,6.2799997,5.0
119.68153,13.007692,5.0
127.42983,6.607514,5.0
76.32829,3.3157895,5.0
191.47206,23.261538,5.0
251.52338,10.265268,5.0
177.68816,9.809742,5.0
268.9844,24.177408,5.0
253.54422,20.0678,5.0
212.14941,13.418732,5.0
318.33105,4573.93,5.0
242.99127,21.271088,5.0
707.04407,209.9641,5.0
51.825275,5.2799997,5.0
114.0,3.5076923,5.0
55.072678,4.5,5.0
700.83234,144.04279,5.0
375.3803,6.512962,5.0
76.32829,1.5,5.0
76.32829,6.0,5.0
134.14519,7.3846154,5.0
118.29038,3.507692,5.0
184.6233,3.6790152,5.0
264.5849,8.78722,5.0
59.018013,1.9984905,5.0
390.6853,129.59348,5.0
118.29038,3.507692,5.0
114.0,4.3846154,5.0
118.29038,3.507692,5.0
48.0,3.1556604,5.0
176.21715,6.550791,5.0
44.0,3.0344827,5.0
44.513035,26.180178,5.0
183.25285,13.100931,5.0
249.12624,16.258621,5.0
129.64522,9.823077,5.0
180.0,3.6734693,5.0
311.85233,11.275185,5.0
69.32686,1.7538463,2.0
118.29038,7.8923073,2.0
219.28738,3.596799,2.0
181.3411,11.158621,2.0
120.0,4.487192,2.0
160.31313,22.733006,2.0
103.49571,2.8868449,2.0
237.21715,5.72,2.0
44.0,2.275862,2.0
47.486637,0.59459466,2.0
111.55474,1.457143,2.0
124.280815,17.513533,2.0
176.43471,20.463232,2.0
220.91533,4.0505953,2.0
47.486637,6.1801805,2.0
247.4143,26.544687,2.0
176.61162,5.532387,2.0
311.3758,42.681847,2.0
678.85376,48.868477,2.0
323.06107,26.463396,2.0
47.224854,1.5733402,2.0
49.55872,20.585897,2.0
47.89332,7.5862074,2.0
178.53635,14.619565,2.0
49.75608,6.4005055,2.0
382.43613,29.300486,2.0
372.5433,29.499672,2.0
128.80417,7.3857365,2.0
117.65749,1.2731487,2.0
843.5935,58.04047,2.0
406.3301,22.328562,2.0
