Time disappeared vs. Time spent from (660, 2) to (693, 302)
0.31439137,0.0,1.0
3.1739364,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
1.0,0.0,1.0
0.0,0.0,1.0
8.277778,0.0,1.0
0.75396824,0.0,1.0
1.2692308,0.0,1.0
2.9438176,0.0,1.0
0.0,0.0,1.0
4.0,0.0,1.0
0.66442955,0.0,1.0
13.266161,0.0,1.0
0.0,0.0,1.0
5.1813188,0.0,1.0
6.2171,17.0,1.0
0.0,0.0,1.0
0.5821796,0.0,1.0
0.0,0.0,1.0
1.1388888,0.0,1.0
0.63492006,0.0,1.0
0.20820189,0.0,1.0
0.45833337,0.0,1.0
5.0,0.0,1.0
4.0,0.0,1.0
2.0,0.0,1.0
0.992337,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.48687425,0.0,1.0
0.969697,0.0,1.0
1.0,0.0,1.0
0.0,0.0,1.0
0.5665258,0.0,1.0
0.26893196,0.0,1.0
1.4992541,0.0,1.0
1.8928572,0.0,1.0
0.7142849,0.0,1.0
2.3123028,0.0,1.0
0.7677547,0.0,1.0
0.0,0.0,1.0
1.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
2.3626373,0.0,1.0
0.0,0.0,1.0
0.45833334,0.0,1.0
1.8457483,0.0,1.0
0.6798098,0.0,1.0
1.1517094,0.0,1.0
22.568966,0.0,1.0
1.396,0.0,1.0
1.0,0.0,1.0
0.0,0.0,1.0
3.3055556,0.0,1.0
0.59573084,0.0,1.0
13.471496,0.0,1.0
0.52703214,0.0,1.0
0.9065933,0.0,1.0
10.208202,0.0,1.0
7.515625,0.0,1.0
15.183735,0.0,1.0
0.3582857,0.0,1.0
0.4792585,0.0,1.0
1.3235295,0.0,1.0
5.3235292,0.0,1.0
0.0,0.0,1.0
0.969697,0.0,1.0
10.612668,0.0,1.0
0.0,0.0,1.0
2.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
2.1137931,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
5.0,0.0,1.0
0.0,0.0,1.0
2.3412282,0.0,1.0
0.72527474,0.0,1.0
1.084361,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.15277779,0.0,1.0
1.3739531,0.0,1.0
11.34135,0.0,1.0
0.05148206,0.0,1.0
3.0,0.0,1.0
0.69444376,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
2.0631535,0.0,1.0
2.0,0.0,1.0
0.0,0.0,1.0
2.0,0.0,5.0
3.7616577,44.0,5.0
0.48687425,0.0,5.0
1.1183333,0.0,5.0
0.0,0.0,5.0
2.1849558,0.0,5.0
0.18696883,0.0,5.0
0.0,0.0,5.0
0.442953,0.0,5.0
0.44059628,0.0,5.0
0.36263737,0.0,5.0
1.8621902,0.0,5.0
0.7252748,0.0,5.0
0.07875895,0.0,5.0
0.0,0.0,5.0
0.45833334,0.0,5.0
0.10891089,0.0,5.0
7.707322,0.0,5.0
0.38517216,0.0,5.0
0.0,0.0,5.0
1.0,0.0,5.0
0.0,0.0,5.0
0.18857144,0.0,5.0
2.543956,0.0,5.0
0.51541513,0.0,5.0
0.857143,0.0,5.0
2.6765,0.0,5.0
0.26294822,0.0,5.0
3.1772387,29.0,5.0
34.249397,14.0,5.0
0.6681929,0.0,5.0
12.846154,0.0,5.0
2.0,0.0,5.0
2.0,0.0,5.0
0.30555555,0.0,5.0
0.3505675,0.0,5.0
9.279661,0.0,5.0
0.4848485,0.0,5.0
0.054455444,0.0,5.0
0.054455444,0.0,5.0
0.06991526,0.0,5.0
0.0,0.0,5.0
0.054455444,0.0,5.0
0.46580145,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
25.310345,25.0,5.0
8.43397,0.0,5.0
4.0544553,0.0,5.0
0.264,0.0,5.0
0.99248123,0.0,5.0
0.517241,0.0,5.0
3.1089108,0.0,5.0
3.1089108,0.0,5.0
0.528,0.0,5.0
3.1533086,0.0,5.0
0.20689656,0.0,5.0
0.34137928,0.0,5.0
0.43708614,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
8.829576,0.0,5.0
0.8,0.0,5.0
22.396648,15.0,5.0
0.116197184,0.0,5.0
0.36263734,0.0,5.0
0.53333336,0.0,5.0
6.5794206,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.255,0.0,5.0
0.46478873,0.0,5.0
1.225858,0.0,5.0
0.0,0.0,5.0
0.13360325,0.0,5.0
0.0,0.0,5.0
4.1153846,0.0,5.0
0.0,0.0,5.0
1.6923076,0.0,2.0
2.3103447,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
1.0,0.0,2.0
0.4848485,0.0,2.0
2.0,0.0,2.0
2.0,0.0,2.0
7.42414,0.0,2.0
1.9670589,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.8741722,0.0,2.0
1.0844094,0.0,2.0
0.36263737,0.0,2.0
0.36263737,0.0,2.0
4.0,0.0,2.0
0.5482759,0.0,2.0
3.744361,0.0,2.0
0.0,0.0,2.0
1.1903332,0.0,2.0
0.0,0.0,2.0
0.66819286,0.0,2.0
2.0,0.0,2.0
0.36263734,0.0,2.0
0.2777775,0.0,2.0
7.138889,0.0,2.0
2.0,0.0,2.0
0.60469764,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.5675862,0.0,2.0
3.6368818,0.0,2.0
0.0,0.0,2.0
0.98316646,0.0,2.0
0.846743,0.0,2.0
0.41214818,0.0,2.0
2.744361,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.11619717,0.0,2.0
0.36263737,0.0,2.0
0.51,0.0,2.0
0.9053365,0.0,2.0
9.108911,0.0,2.0
0.0,0.0,2.0
4.8461537,0.0,2.0
0.0,0.0,2.0
0.2777775,0.0,2.0
6.5497375,0.0,2.0
0.0,0.0,2.0
186.84956,1308.0,2.0
0.0,0.0,2.0
2.664481,0.0,2.0
0.36263734,0.0,2.0
77.0,0.0,2.0
2.543956,0.0,2.0
4.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.12547529,0.0,2.0
0.0,0.0,2.0
0.116197184,0.0,2.0
1.0,0.0,2.0
0.18131867,0.0,2.0
2.0,0.0,2.0
0.18696883,0.0,2.0
0.992337,0.0,3.0
2.0,0.0,3.0
1.3184581,0.0,3.0
2.2820513,0.0,3.0
2.3960001,0.0,3.0
0.0,0.0,3.0
1.1813186,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
5.5121007,0.0,3.0
2.0,0.0,3.0
0.62839437,0.0,3.0
10.108911,0.0,3.0
71.35156,807.0,3.0
17.0,15.0,3.0
5.3626375,0.0,3.0
41.059822,0.0,3.0
2.264,0.0,3.0
43.0,12.0,3.0
0.0,0.0,3.0
2.4621356,0.0,3.0
53.84722,86.0,3.0
2.208202,0.0,3.0
29.21719,0.0,3.0
0.21782178,0.0,3.0
1.5676659,0.0,3.0
0.0,0.0,3.0
0.2777775,0.0,3.0
0.4583333,0.0,3.0
0.3626374,0.0,3.0
5.6318684,0.0,3.0
152.47299,120.0,3.0
79.52286,122.0,3.0
121.2004,104.0,3.0
23.054455,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
20.0,19.0,3.0
0.47826087,0.0,3.0
0.0,0.0,3.0
1.2941177,0.0,3.0
0.0,0.0,3.0
1.3070589,0.0,3.0
1.151371,0.0,3.0
1.6305884,0.0,3.0
2.0,0.0,3.0
0.4526925,0.0,3.0
0.4209658,0.0,3.0
0.30476862,0.0,3.0
9.310943,0.0,3.0
4.8597703,0.0,3.0
0.36263734,0.0,3.0
0.0,0.0,3.0
0.528,0.0,3.0
1.1101539,0.0,3.0
0.9065933,0.0,3.0
0.45833337,0.0,3.0
6.0694447,0.0,3.0
1.8020048,0.0,3.0
0.0,0.0,3.0
68.43364,0.0,3.0
0.23239435,0.0,3.0
5.3626375,0.0,3.0
55.0,34.0,3.0
6.0,0.0,3.0
0.21782178,0.0,3.0
2.0,0.0,3.0
9.0,0.0,3.0
0.4356349,0.0,3.0
27.155428,0.0,3.0
22.9147,106.0,3.0
6.208202,0.0,3.0
0.15751791,0.0,3.0
58.36572,46.0,3.0
5.516877,0.0,3.0
2.5689654,0.0,3.0
2.4583333,0.0,3.0
0.44602263,0.0,3.0
6.0,0.0,3.0
26.261353,0.0,3.0
6.1527777,0.0,3.0
0.5379499,0.0,3.0
2.2323945,0.0,3.0
2.3485916,0.0,3.0
2.0,0.0,3.0
0.09428572,0.0,3.0
8.217822,0.0,3.0
6.0,0.0,3.0
0.68048275,0.0,3.0
2.7800386,0.0,4.0
1.2868781,0.0,4.0
23.66,23.0,4.0
24.009615,135.0,4.0
7.9295774,0.0,4.0
23.0,13.0,4.0
4.054286,0.0,4.0
6.4285707,0.0,4.0
7.9369087,0.0,4.0
8.0,0.0,4.0
