X,Y,Z,Date And Time,Phone Id's
374,302,0,24/09/2014 11:02:08,ZX1B23QFSP48abead89f52e3bb
177,302,0,24/09/2014 11:02:08,TA92903URNf067ff16fcf8e045
122,302,0,24/09/2014 11:02:08,ZX1B23QBS53771758c578bbd85
177,302,0,24/09/2014 11:02:09,YT910K6675876ded0861342065
274,320,0,24/09/2014 11:02:09,HT25TW5055273593c875a9898b00
374,302,0,24/09/2014 11:02:10,ZX1B23QFSP48abead89f52e3bb
87,320,0,24/09/2014 11:02:10,ZX1B23QBS53771758c578bbd85
403,347,0,24/09/2014 11:02:11,HT25TW5055273593c875a9898b00
177,302,0,24/09/2014 11:02:11,TA92903URNf067ff16fcf8e045
374,347,0,24/09/2014 11:02:12,HT25TW5055273593c875a9898b00
274,320,0,24/09/2014 11:02:12,ZX1B23QFSP48abead89f52e3bb
177,302,0,24/09/2014 11:02:13,TA92903URNf067ff16fcf8e045
340,320,0,24/09/2014 11:02:13,HT25TW5055273593c875a9898b00
374,302,0,24/09/2014 11:02:14,ZX1B23QBS53771758c578bbd85
242,302,0,24/09/2014 11:02:14,ZX1B23QFSP48abead89f52e3bb
221,347,0,24/09/2014 11:02:14,TA92903URNf067ff16fcf8e045
374,320,0,24/09/2014 11:02:15,HT25TW5055273593c875a9898b00
242,302,0,24/09/2014 11:02:15,ZX1B23QBS53771758c578bbd85
242,302,0,24/09/2014 11:02:16,ZX1B23QFSP48abead89f52e3bb
177,302,0,24/09/2014 11:02:16,YT910K6675876ded0861342065
177,302,0,24/09/2014 11:02:16,TA92903URNf067ff16fcf8e045
459,347,0,24/09/2014 11:02:16,HT25TW5055273593c875a9898b00
514,302,0,24/09/2014 11:02:17,ZX1B23QBS53771758c578bbd85
242,302,0,24/09/2014 11:02:17,ZX1B23QFSP48abead89f52e3bb
374,320,0,24/09/2014 11:02:18,HT25TW5055273593c875a9898b00
177,302,0,24/09/2014 11:02:18,TA92903URNf067ff16fcf8e045
432,347,0,24/09/2014 11:02:19,HT25TW5055273593c875a9898b00
242,302,0,24/09/2014 11:02:19,ZX1B23QFSP48abead89f52e3bb
403,320,0,24/09/2014 11:02:19,ZX1B23QBS53771758c578bbd85
177,302,0,24/09/2014 11:02:20,TA92903URNf067ff16fcf8e045
