Total angle changed vs. Path length from (100, 302) to (330, 323)
Path length (points/sec)
Total angle changed (radians)
624.6452,0.5164783,5.0
209.91704,4.885282,5.0
0.0,1.0691923,5.0
185.0,0.0,5.0
0.0,0.578138,5.0
0.0,0.1122398,5.0
43.0,1.1237651,5.0
408.7882,0.5520925,5.0
0.0,0.074358664,5.0
0.0,0.4279485,5.0
0.0,1.2879492,5.0
0.0,0.0,5.0
176.936,1.0943289,5.0
130.0,1.160409,5.0
42.038906,0.61714435,5.0
0.0,0.2306883,5.0
0.0,0.07241203,5.0
132.44627,1.0396531,5.0
55.43358,0.38204485,5.0
132.43358,0.38204485,5.0
53.0,0.0,5.0
33.0,0.13863973,5.0
0.0,0.021584906,5.0
34.089634,0.8199791,5.0
34.089634,0.62533957,5.0
65.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
87.44039,0.23860933,5.0
233.12907,0.0,5.0
179.09221,3.3700938,5.0
72.362175,0.2896331,5.0
0.0,1.0714496,5.0
65.0,0.0,5.0
27.658634,2.110132,5.0
128.09628,0.0,5.0
71.17749,0.0301737,5.0
0.0,0.47501075,5.0
0.0,1.4978364,5.0
0.0,0.29101354,5.0
